"","orig.ident","nCount_WF","nFeature_WF","cType","area.cType$X3"
"404","SeuratProject",1.65988762799416,32,"PV","VIS_PV"
"405","SeuratProject",1.19468604512567,33,"PV","VIS_PV"
"406","SeuratProject",1.86202591356663,36,"PV","VIS_PV"
"407","SeuratProject",1.68351743044359,35,"PV","VIS_PV"
"408","SeuratProject",1.63137377349998,34,"PV","VIS_PV"
"409","SeuratProject",1.66173620835711,33,"PV","VIS_PV"
"410","SeuratProject",1.05319963238705,32,"PV","VIS_PV"
"411","SeuratProject",1.57645806189327,35,"PV","VIS_PV"
"412","SeuratProject",1.16398820843688,33,"PV","VIS_PV"
"413","SeuratProject",0.790738410430973,34,"PV","VIS_PV"
"414","SeuratProject",1.66475465013232,35,"PV","VIS_PV"
"415","SeuratProject",1.80219400891468,35,"PV","VIS_PV"
"416","SeuratProject",1.01991922539384,37,"PV","VIS_PV"
"417","SeuratProject",1.62320969397862,38,"PV","HIP_PV"
"418","SeuratProject",2.02843556711571,35,"PV","HIP_PV"
"419","SeuratProject",1.44804861196767,34,"PV","VIS_PV"
"420","SeuratProject",1.51974125947736,33,"PV","VIS_PV"
"421","SeuratProject",1.16266901820072,34,"PV","VIS_PV"
"422","SeuratProject",1.34778115135015,35,"PV","VIS_PV"
"423","SeuratProject",1.09909075192821,36,"PV","HIP_PV"
"424","SeuratProject",1.65886296724833,36,"PV","VIS_PV"
"425","SeuratProject",1.80290951499729,34,"PV","VIS_PV"
"426","SeuratProject",1.65813644221848,33,"PV","VIS_PV"
"427","SeuratProject",1.27555863773278,35,"PV","VIS_PV"
"428","SeuratProject",1.45218401638593,34,"PV","HIP_PV"
"429","SeuratProject",1.50423649564926,36,"PV","VIS_PV"
"430","SeuratProject",1.84808582530782,34,"PV","VIS_PV"
