0,1,2,3,4,5,6,7,8,9,label,label_name
1.1982875,2.1713896,-0.9002897,0.2916366,-0.19210696,0.038183548,-0.48821053,-0.40887508,-0.7006795,-1.0093353,0,PV
-0.12645888,1.3450054,-0.23842524,1.3982254,-1.483141,-1.2834605,0.2803719,0.9255474,-0.2562279,-0.56143606,0,PV
1.0106386,2.168487,-0.71160275,0.72605604,-0.5954953,-0.35603154,-0.36654887,-0.14132644,-0.6397685,-1.0944079,0,PV
-0.3857274,0.9416991,-0.08476587,1.4878738,-1.4927976,-1.3593949,0.43326584,1.1160735,-0.23217674,-0.42405084,0,PV
1.0085726,2.155399,-0.6994461,0.74965614,-0.6111784,-0.36717287,-0.36544922,-0.12691669,-0.63938,-1.1040856,0,PV
1.0092405,2.1619442,-0.7045089,0.7358067,-0.59800744,-0.34317347,-0.37815785,-0.13690203,-0.6408725,-1.1053705,0,PV
1.1965908,2.172018,-0.89221025,0.30243984,-0.2016608,0.027242735,-0.48513362,-0.40248713,-0.6994364,-1.0173634,0,PV
1.0947315,1.5931518,-0.7277019,-0.7337449,0.79328185,1.0767758,-0.8205379,-0.82520586,-0.73462456,-0.71612567,0,PV
1.0182072,2.1636736,-0.72340745,0.72228634,-0.58161837,-0.33621165,-0.37533826,-0.14485878,-0.6422185,-1.1005133,0,PV
1.1978159,2.1715474,-0.89801127,0.29523596,-0.19500718,0.03437894,-0.4871294,-0.40690005,-0.70007336,-1.0118574,0,PV
-1.0361602,-0.06155829,0.42019892,1.1931417,-1.5134587,-1.3761482,0.7592396,1.2136703,0.26463395,0.13644063,0,PV
1.0063777,2.1604064,-0.7102466,0.745882,-0.62037486,-0.3780903,-0.35008162,-0.12940718,-0.63305223,-1.0914129,0,PV
1.1983393,2.1713574,-0.900352,0.29154962,-0.1920291,0.03830976,-0.4882886,-0.4089396,-0.70070493,-1.0092406,0,PV
1.1538744,2.1831503,-0.7780914,0.43130907,-0.3236331,-0.09268246,-0.46458966,-0.32381126,-0.68917435,-1.0963523,0,PV
-1.0004463,-0.7370615,0.5159751,1.1033242,-1.4085398,-1.2965047,0.82063687,1.1052709,0.51832134,0.3790239,0,PV
0.2993962,2.1508987,-0.5630992,1.0248026,-1.1106737,-0.82654804,-0.050920755,0.3366475,-0.4186411,-0.8418626,0,PV
1.0732552,2.194706,-0.75028527,0.578314,-0.47901678,-0.24264896,-0.39230675,-0.21951658,-0.6686687,-1.0938318,0,PV
-1.0360197,0.21752858,0.29468584,1.4078517,-1.4733604,-1.3024529,0.53195465,1.2846234,0.097695045,-0.022506896,0,PV
0.9938865,2.1479166,-0.7013064,0.777202,-0.6491374,-0.4044918,-0.33945203,-0.10140821,-0.6297171,-1.0934907,0,PV
0.52130866,2.1908293,-0.5591686,0.97170055,-0.9583651,-0.71259516,-0.17294122,0.18969904,-0.5134851,-0.9569826,0,PV
1.1955087,2.1733193,-0.89007455,0.3001863,-0.19967833,0.029012546,-0.48766544,-0.40407148,-0.70008504,-1.0164517,0,PV
-1.0370021,0.13074933,0.32520175,1.3614709,-1.485854,-1.3250592,0.567608,1.2810711,0.13977908,0.042035338,0,PV
0.7647705,2.1691074,-0.5913229,0.91291577,-0.82494634,-0.5609743,-0.27955395,0.054442793,-0.6001972,-1.0442413,0,PV
1.0011967,2.157369,-0.7164067,0.7532707,-0.6155959,-0.36990744,-0.35971826,-0.11988626,-0.63479054,-1.0955323,0,PV
1.093735,2.186145,-0.7565752,0.571349,-0.46361405,-0.23741773,-0.39754012,-0.23549221,-0.66695255,-1.0936375,0,PV
1.1756548,2.1843307,-0.817897,0.35639656,-0.250515,-0.03060499,-0.486871,-0.37338606,-0.6959438,-1.0611637,0,PV
1.1981863,2.1714792,-0.89972156,0.2920004,-0.19244844,0.03782313,-0.48829627,-0.4086917,-0.70069695,-1.0096333,0,PV
-1.0160463,-0.51356715,0.5048939,1.1552104,-1.4577055,-1.3281392,0.8004843,1.1516649,0.4266177,0.27658674,0,PV
-0.1669045,1.3356292,-0.22878172,1.3924398,-1.4828957,-1.2962358,0.29487565,0.9379829,-0.24805045,-0.5380597,0,PV
1.1696665,2.184381,-0.79316187,0.3818955,-0.26995632,-0.04801617,-0.49354914,-0.36314034,-0.69479126,-1.0733272,0,PV
1.1974739,2.1720433,-0.8965633,0.29436532,-0.19457826,0.035318658,-0.48842546,-0.40745082,-0.7006272,-1.0115559,0,PV
0.6301816,2.219363,-0.58122694,0.90409744,-0.87212783,-0.6243407,-0.22561999,0.1096186,-0.5654529,-0.99449277,0,PV
0.9906729,2.1718845,-0.6931896,0.73733556,-0.60422945,-0.3554934,-0.37663746,-0.12844457,-0.636022,-1.1058767,0,PV
0.87045765,2.1597075,-0.635271,0.85759956,-0.74059427,-0.48618767,-0.3119787,-0.010386257,-0.6215373,-1.0818106,0,PV
