0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label,label_name
-0.46800533,1.5498229,-0.9956315,0.3547568,1.1664553,-0.14554368,-1.2380719,-0.8819501,1.1515292,-0.49336264,1.1982875,2.1713896,-0.9002897,0.2916366,-0.19210696,0.038183548,-0.48821053,-0.40887508,-0.7006795,-1.0093353,0,PV
-0.6320082,1.6151962,-0.6160302,-0.33092508,1.0931747,-0.48250985,-1.0459757,-0.6997889,1.5208583,-0.42199117,-0.12645888,1.3450054,-0.23842524,1.3982254,-1.483141,-1.2834605,0.2803719,0.9255474,-0.2562279,-0.56143606,0,PV
-0.54219323,1.2683489,-1.2298841,0.7736132,1.0778607,0.10552408,-1.2131557,-0.9560882,1.1232146,-0.40723887,1.0106386,2.168487,-0.71160275,0.72605604,-0.5954953,-0.35603154,-0.36654887,-0.14132644,-0.6397685,-1.0944079,0,PV
-0.6182557,1.6601366,-0.8950417,0.19000778,0.97481394,-0.29930228,-1.2098719,-0.8327869,1.3203139,-0.29001313,-0.3857274,0.9416991,-0.08476587,1.4878738,-1.4927976,-1.3593949,0.43326584,1.1160735,-0.23217674,-0.42405084,0,PV
-0.5431966,1.2661002,-1.2282873,0.78088933,1.0789156,0.09940343,-1.2097224,-0.9567734,1.1233807,-0.4107086,1.0085726,2.155399,-0.6994461,0.74965614,-0.6111784,-0.36717287,-0.36544922,-0.12691669,-0.63938,-1.1040856,0,PV
-0.53567415,1.2739512,-1.2411832,0.7619078,1.0711627,0.13101624,-1.2131382,-0.9560731,1.1182383,-0.41020745,1.0092405,2.1619442,-0.7045089,0.7358067,-0.59800744,-0.34317347,-0.37815785,-0.13690203,-0.6408725,-1.1053705,0,PV
1.6986445,0.21612471,0.47988477,0.8420598,0.22361623,0.6130822,-1.2395831,-0.77164,-1.5024551,-0.55973387,1.1965908,2.172018,-0.89221025,0.30243984,-0.2016608,0.027242735,-0.48513362,-0.40248713,-0.6994364,-1.0173634,0,PV
-0.5442888,1.2670327,-1.2253349,0.78031194,1.0804249,0.09332552,-1.2096372,-0.9561835,1.1250814,-0.41073215,1.0947315,1.5931518,-0.7277019,-0.7337449,0.79328185,1.0767758,-0.8205379,-0.82520586,-0.73462456,-0.71612567,0,PV
-0.5416622,1.2743182,-1.2299806,0.75749314,1.0771037,0.11287785,-1.2201356,-0.9542694,1.1242099,-0.39995548,1.0182072,2.1636736,-0.72340745,0.72228634,-0.58161837,-0.33621165,-0.37533826,-0.14485878,-0.6422185,-1.1005133,0,PV
-0.57040596,1.5771548,-1.098208,0.5581187,1.0042083,-0.042319212,-1.2546595,-0.91451836,1.0684044,-0.3277733,1.1978159,2.1715474,-0.89801127,0.29523596,-0.19500718,0.03437894,-0.4871294,-0.40690005,-0.70007336,-1.0118574,0,PV
