,embeddings
410,"[ 0.2726595   0.12159793 -0.12624505 -0.6706722  -0.1703382  -1.2262112
  0.38502938 -0.44754028  2.485045   -0.62332475]"
411,"[-0.33871645 -0.23744951  1.0706135  -0.90362    -1.055331   -0.913663
  0.14242917  1.6306634  -0.7111773   1.3162524 ]"
412,"[-0.5899701  -0.27928627  1.1241566  -0.8242201  -0.9997364  -0.9589984
 -0.06738517  1.941061   -0.27503714  0.9294158 ]"
413,"[-0.33428022 -0.16840604  1.1540393  -0.6814808  -1.8105246   0.5858564
 -0.71766514  1.6838651   0.3029767  -0.01438172]"
414,"[-0.11632849 -0.24342155  0.9178341  -0.9735355  -1.3255345   0.15586506
  0.17081226  0.95431703 -1.2379949   1.6979862 ]"
415,"[ 0.43393356 -0.18358555 -0.8193585  -0.8667019  -0.76753974  0.7786804
  0.58919203 -0.9196547  -0.431496    2.1865308 ]"
416,"[-0.08860437 -0.32119352 -0.05133523 -1.1542408  -1.1726362  -1.156113
  0.49175128  1.244726    0.54957235  1.6580745 ]"
417,"[-0.204605   -0.22306183  1.2866739  -0.8648026  -1.44652     0.0611783
 -0.08020366  1.3782152  -1.071149    1.1642745 ]"
418,"[-0.3030878  -0.22058173  1.2393435  -0.869918   -1.2065707  -0.46293104
  0.03124655  1.3026209  -0.99579567  1.4856741 ]"
419,"[-0.41859394 -0.22317535  1.5673105  -0.6142783  -1.4072478  -0.16257535
 -0.35078278  1.5349154  -0.8150224   0.8894492 ]"
420,"[-0.21614526 -0.22483057  1.060301   -0.9552547  -1.1591645  -0.52179056
  0.18629798  1.2257373  -1.0261074   1.6309566 ]"
421,"[-0.34726277 -0.22564629  1.4704872  -0.73269254 -1.3494076  -0.35716477
 -0.21076626  1.636298   -0.79404145  0.91019654]"
422,"[-0.17348015 -0.2209595   0.9006503  -1.0303754  -1.1751311  -0.41558117
  0.24199054  1.1840774  -1.0334146   1.7222232 ]"
423,"[-0.28737682 -0.21221863  1.1544278  -0.92055845 -1.0860139  -0.8879498
  0.11537009  1.6181538  -0.7380096   1.2441766 ]"
424,"[-0.18595164 -0.21500406  1.0245457  -1.0079128  -1.2173908  -0.32076228
  0.17504962  1.1674758  -1.0714335   1.6513847 ]"
425,"[-0.59971    -0.2599972   1.2315077  -0.75850284 -0.9361898  -0.920292
 -0.22396103  2.147427    0.01034164  0.30937672]"
426,"[-6.7387325e-01 -3.8556591e-01  1.0112689e+00 -8.0253494e-01
 -9.1290283e-01 -1.0102819e+00 -2.6394961e-02  2.0914698e+00
  6.4669730e-04  7.0816827e-01]"
427,"[-0.30150828 -0.2246273   0.9802405  -0.6529807  -1.7508802   0.8437419
 -0.41092864  0.85713786 -0.80426615  1.4640716 ]"
428,"[-0.15138172 -0.23783551  1.0068358  -0.9459711  -1.316848    0.06256028
  0.12797564  1.0209665  -1.2186188   1.6523173 ]"
429,"[-0.51374555 -0.28607664  1.0883542  -0.8754583  -1.022407   -0.9811809
  0.00542535  1.9545918  -0.26614153  0.8966389 ]"
430,"[ 0.00820548 -0.18659572  0.512691   -0.77033895 -1.5488163   1.6593523
 -0.14945675  0.19453777 -1.0550005   1.3354213 ]"
431,"[-0.20702174 -0.22897464  1.0749531  -0.9793589  -1.2006865  -0.37193072
  0.17032078  1.253869   -1.0764542   1.5652841 ]"
432,"[-0.2537889   0.27927315 -0.7954734  -0.36683366  0.64980996 -0.4278706
 -0.14626184 -0.86428773  2.5220263  -0.59659314]"
433,"[-0.22143252 -0.22040123  1.101601   -1.0065874  -1.3022367  -0.25999144
  0.09670483  1.2962722  -0.9848224   1.5008944 ]"
434,"[-0.22520307 -0.21846803  1.1521819  -0.74666756 -1.4838979   0.623622
 -0.15864398  0.79310495 -1.2348788   1.4988508 ]"
435,"[-0.12976146 -0.24266143  0.88547605 -0.97656643 -1.3163743   0.22548349
  0.17700669  0.8705634  -1.2441125   1.7509471 ]"
436,"[-0.33307135  0.37352827 -0.9966171  -0.33494002  1.3773278  -0.26058772
 -0.27200916 -0.99986094  2.05722    -0.6109895 ]"
437,"[-0.2493041  -0.20829186  1.2016639  -0.94525266 -1.1021274  -0.7973131
  0.13674822  1.4994764  -0.84752333  1.3119242 ]"
438,"[-0.12955298 -0.23866224  0.8601177  -1.0236837  -1.2559402  -0.06064885
  0.23802811  0.9710497  -1.1557381   1.7950307 ]"
439,"[-0.33133462 -0.21535812  1.1806984  -0.8994802  -1.0658119  -0.90757537
  0.08306453  1.6230015  -0.7077961   1.2405919 ]"
440,"[-0.5819294  -0.28712183  1.0438877  -0.711062   -0.75827974 -0.8519611
 -0.22412711  2.133621    0.84379077 -0.60681796]"
441,"[-0.33373153 -0.22324531  1.1501206  -0.741538   -1.4548151   0.49847195
 -0.1507514   0.81996715 -1.1626844   1.5982056 ]"
442,"[-0.35481992 -0.2637018   0.92699385 -0.7137997  -1.6096917   0.5937044
 -0.22717768  0.8754243  -0.9125702   1.6856401 ]"
443,"[-0.33898097  0.29454753 -0.9711004  -0.32643148  2.3719318  -0.19598675
 -0.14006703 -0.9537178   0.8786758  -0.6188707 ]"
444,"[-0.20011076 -0.23453636  1.101216   -0.9218921  -1.2381473  -0.44369692
  0.13277811  1.3595209  -1.0320832   1.4769522 ]"
445,"[-0.1479953  -0.24048913  1.0233444  -0.953065   -1.3036767  -0.01460322
  0.14608385  1.0654279  -1.2049285   1.6299018 ]"
446,"[-0.22881058 -0.23197038  1.1927446  -0.8846175  -1.366811   -0.08268766
 -0.0099914   1.4251162  -1.0823033   1.2693307 ]"
447,"[ 0.08518048 -0.49230522 -0.6797224  -1.0795637  -0.9434868  -1.1457037
  0.7562188   1.098216    1.560687    0.84047973]"
448,"[-0.24763429  0.23163243 -0.9587347  -0.274804    1.5008024  -0.45007175
 -0.04315919 -0.9371814   1.9788182  -0.7996675 ]"
449,"[-0.12035912 -0.2337608   0.930659   -0.9939446  -1.3247207   0.06898638
  0.17358772  1.0367899  -1.2012793   1.6640419 ]"
450,"[-0.1840004  -0.24176833  0.9742079  -0.88881046 -1.3383195   0.2095959
  0.10150816  0.93389624 -1.2591438   1.6928343 ]"
451,"[-0.14411148 -0.24140899  1.0538745  -0.9594507  -1.3048916  -0.01169685
  0.13829091  1.0634933  -1.2031709   1.6090727 ]"
452,"[-0.23233807 -0.20987847  1.1996019  -0.935482   -1.1857357  -0.5143471
  0.11043257  1.3942896  -1.0156239   1.3890809 ]"
453,"[-0.19686806 -0.2309657   1.0170401  -0.9764509  -1.1831667  -0.42086178
  0.19997986  1.1797732  -1.0588332   1.6703523 ]"
454,"[ 0.49853456  0.09624447  0.3550558  -0.6883885  -0.4458251  -1.9654905
  0.32876864  0.31971905  1.921793   -0.42041165]"
455,"[-0.2988659  -0.08498146  0.8170122  -0.5640788  -0.9202629  -0.64037776
 -0.6362469   1.7072868   1.564976   -0.9444618 ]"
456,"[-0.02404111 -0.10575546 -0.11012436 -0.02844072 -1.4839174   2.4163249
 -0.7360169  -0.45527175  0.11085053  0.4163933 ]"
457,"[-0.1779591  -0.2309476   1.0259763  -0.96281034 -1.286496   -0.13098527
  0.14023699  1.2277247  -1.1547835   1.5500432 ]"
458,"[-0.16539477 -0.23224036  0.903526   -1.0092549  -1.158066   -0.75438994
  0.2647363   1.4208971  -0.82190126  1.5520883 ]"
459,"[-0.22223589 -0.2301416   1.0250957  -0.9413758  -1.2379225  -0.23571375
  0.14628293  1.1608169  -1.1217397   1.6569333 ]"
460,"[-0.40218687  0.31267297 -1.1526129  -0.49190158  2.1856387   0.16810386
 -0.06047872 -1.0929016   0.9824557  -0.44878954]"
461,"[-0.18543102 -0.23725586  1.0267942  -0.98348486 -1.2516402  -0.13842708
  0.17088468  1.096173   -1.1532663   1.6556541 ]"
462,"[-0.16295287 -0.22848569  0.8998953  -1.0265143  -1.1656123  -0.47290373
  0.27263987  1.1969298  -1.022596    1.7095996 ]"
463,"[-0.26301533 -0.03773557  0.39772245 -0.6532432  -0.8079095  -0.67424023
 -0.62748027  1.2875912   2.1444354  -0.7661246 ]"
464,"[-0.33888912  0.33633977 -1.0510389  -0.36952347  2.041348   -0.25204507
 -0.17444016 -1.0179312   1.3857851  -0.5596049 ]"
465,"[-0.276637   -0.22298735  1.0596272  -0.9131536  -1.073554   -0.9006986
  0.17203583  1.5871263  -0.7749588   1.3431998 ]"
466,"[-0.0847484   0.2611133  -0.8506102  -0.19833343  1.2304766  -0.57738876
  0.11547298 -0.8602215   2.078384   -1.1141447 ]"
467,"[-0.68343854 -0.27519527  1.2950245  -0.8248354  -0.9544708  -1.0255272
 -0.20198362  1.9469707   0.21369044  0.5097653 ]"
468,"[-0.15783119 -0.23993911  0.9854722  -0.9538271  -1.3119684   0.04001492
  0.1414766   1.0288056  -1.2023884   1.6701853 ]"
469,"[-0.3270795  -0.21094358  1.4454958  -0.73519385 -1.1857573  -0.6993166
 -0.13224596  1.7790661  -0.7215813   0.7875561 ]"
470,"[-0.14923926 -0.22620636  1.0756048  -0.990747   -1.3122034  -0.03475975
  0.12836269  1.1824427  -1.1776978   1.5044427 ]"
471,"[-0.4112672  -0.22142549  1.3006631  -0.48821232 -1.5004349   0.6342031
 -0.35210332  0.89418167 -1.2053535   1.3497484 ]"
472,"[-0.21553473 -0.2228953   0.8724961  -0.8873202  -1.4317882   0.20657437
 -0.00802783  0.8313754  -1.0225636   1.8776844 ]"
473,"[ 0.01250099 -0.19942684  0.38370454 -0.7555555  -1.2946719   1.2628857
  0.10325626 -0.0461839  -1.285       1.8184894 ]"
474,"[-0.3342667   0.3207082  -1.0387398  -0.34981015  2.0163825  -0.28292778
 -0.17254263 -1.0140198   1.43123    -0.5760136 ]"
475,"[-0.19512936 -0.23658703  1.1104268  -0.909161   -1.3620003  -0.03759202
  0.05132074  1.2157344  -1.1306313   1.49362   ]"
476,"[-0.33982173  0.29594275 -0.9949051  -0.30520958  2.2125566  -0.25109953
 -0.15631673 -0.97608256  1.1645901  -0.6496542 ]"
477,"[-0.253796   -0.21682829  1.1542615  -0.94585925 -1.1548946  -0.57704985
  0.12854908  1.5114038  -0.96989685  1.3241106 ]"
478,"[-0.31739384 -0.22443211  1.2294493  -0.8607312  -1.1738565  -0.8393379
  0.02791121  1.5512955  -0.67688173  1.2839762 ]"
479,"[-0.1541839  -0.23990244  0.9790419  -1.0082877  -1.2398183  -0.24051486
  0.21453167  1.1698632  -1.1186035   1.6378746 ]"
480,"[-0.17780438 -0.23550285  1.0769479  -0.8427966  -1.3862665   0.2916786
  0.02042063  0.93382084 -1.2742133   1.5937164 ]"
481,"[-0.22277035 -0.22251795  1.0561341  -0.74525255 -1.6081277   0.855243
 -0.23645902  0.8274574  -1.1024597   1.3987521 ]"
482,"[-0.39382944 -0.22263063  1.5552175  -0.6309362  -1.3358091  -0.25316283
 -0.28119466  1.6595324  -0.8524071   0.75522023]"
483,"[-0.27401164 -0.21923189  1.243539   -0.73620737 -1.4112465   0.42586496
 -0.12588197  1.0448097  -1.2979478   1.3503128 ]"
484,"[-0.06392609 -0.19450714  0.93229634 -1.1398374  -1.3770641  -0.08567078
  0.1495096   1.0153254  -0.9486719   1.7125458 ]"
485,"[-0.12112907 -0.23388824  0.91503686 -1.0255088  -1.3001422   0.04907236
  0.19771229  1.0377342  -1.1942204   1.6753328 ]"
486,"[-0.37864044  0.34153083 -1.0755943  -0.5193899   1.0340405   1.6607043
 -0.43372616 -1.2085248   1.2034526  -0.62385297]"
487,"[-0.10067164 -0.13868642  0.8266363  -1.2107661  -1.8035415  -0.2251346
 -0.35779622  0.9821178   0.584236    1.4436055 ]"
488,"[-0.38999057 -0.26326773  1.0775942  -0.7153577  -0.8033309  -0.81644535
 -0.3624953   1.9993539   1.0390195  -0.7650802 ]"
489,"[-0.124499   -0.22560106  0.8320412  -1.0586029  -1.2354532  -0.10508938
  0.2501483   0.9510262  -1.1184521   1.8344817 ]"
490,"[-0.227124   -0.21498565  1.0579318  -0.973238   -1.1390913  -0.64559424
  0.1875881   1.3467008  -0.9386618   1.546475  ]"
491,"[-0.38426888 -0.24439609  1.2791071  -0.53751546 -1.6251024   0.48219684
 -0.400364    1.0890253  -0.9672299   1.3085481 ]"
492,"[-0.2837048  -0.20007992  1.227948   -0.92282087 -1.1137352  -0.8245848
  0.08067223  1.4152225  -0.7843206   1.4054029 ]"
493,"[-0.18260561 -0.23500279  1.023058   -0.9977112  -1.2256519  -0.2920195
  0.19236001  1.2442893  -1.1021266   1.5754095 ]"
494,"[-0.13609093  0.1746483  -0.87704015 -0.32194445  0.9917218  -0.5877948
  0.08896008 -0.88335735  2.3178883  -0.7669907 ]"
495,"[-0.34070617 -0.22332974  1.4589474  -0.7134752  -1.3530486  -0.4674456
 -0.28745568  1.8951496  -0.47037774  0.5017416 ]"
496,"[-0.21614593 -0.21549411  1.2138215  -0.9328595  -1.1547533  -0.59270924
  0.11410061  1.5020347  -0.9924887   1.2744931 ]"
497,"[-0.17704643 -0.23287672  1.1066326  -0.9408886  -1.3023511  -0.12575269
  0.0981407   1.2863183  -1.1574177   1.4452413 ]"
498,"[-0.24558023 -0.22428599  1.1869378  -0.8866412  -1.2401323  -0.33118647
  0.0717966   1.2877786  -1.0959262   1.4772397 ]"
499,"[-0.18023503 -0.2752421   0.673489   -1.034244   -1.1311632  -0.999544
  0.36819145  1.5170629  -0.4912284   1.5529135 ]"
500,"[-0.0418812  -0.18376638 -0.06746796 -0.78291434 -0.8587373  -0.8509996
 -0.10817441  1.2730443   2.2138982  -0.5930012 ]"
501,"[-0.19884726 -0.2366971   1.0747786  -0.9626548  -1.23199    -0.29677233
  0.1587233   1.2683996  -1.1088969   1.533957  ]"
502,"[-0.07735037  0.34265175 -0.67259413 -0.45584562 -0.23466039 -0.33845022
 -0.0216289  -0.6762915   2.6967528  -0.5625838 ]"
503,"[-0.51326984 -0.19908898  1.4644998  -0.6218684  -1.495764   -0.0413943
 -0.434234    1.4111524  -0.69443023  1.124398  ]"
504,"[-0.13930903 -0.22725394  0.9396333  -0.985003   -1.285003   -0.05672129
  0.17200746  1.0295752  -1.1695347   1.7216078 ]"
505,"[-0.11301537 -0.23370965  0.8113529  -1.0099816  -1.2837327   0.03675193
  0.2106357   0.9367631  -1.1733702   1.8183069 ]"
506,"[-0.73630834 -0.1466316   1.3203006  -0.30058733 -1.8605926   0.70068383
 -1.019848    0.88879937  0.29967812  0.85450524]"
507,"[-0.11148351 -0.22365893  0.9320139  -1.0475792  -1.1906947  -0.6723922
  0.27133372  1.3312962  -0.8697265   1.5808907 ]"
508,"[-0.26158044 -0.21854924  1.2025213  -0.86413294 -1.2908833  -0.09112604
  0.02610919  1.1679028  -1.1762689   1.5060071 ]"
509,"[-0.5921459  -0.2282538   1.3004764  -0.45390818 -1.7832383   0.2586737
 -0.87876505  1.5166065   0.3576841   0.50287116]"
510,"[-0.2055806  -0.22280318  1.0584159  -0.9592429  -1.1000811  -0.7343752
  0.22240175  1.3559783  -0.9440453   1.5293324 ]"
511,"[-0.6575779  -0.18357076  1.4241847  -0.4758469  -1.7138687   0.36124095
 -0.8604427   1.5100381   0.21659586  0.3792479 ]"
512,"[-0.42617565 -0.12778099  1.0973136  -1.1147319  -1.6805171   0.0091178
 -0.316857    1.6928566   0.12574251  0.7410321 ]"
513,"[-0.1726647  -0.17097399  0.94239146 -1.1543691  -1.3513535  -0.0327918
  0.18957706  1.1442659  -0.993999    1.599917  ]"
514,"[-0.23177363 -0.17478661  1.0294523  -1.1037093  -1.2911316  -0.29466864
  0.1757426   1.228823   -0.91875213  1.5808026 ]"
515,"[-0.51515293 -0.10813703  1.3465905  -0.76393545 -1.0920782  -0.9557427
 -0.3275912   2.0055034   0.26143155  0.14911206]"
516,"[-0.18147139 -0.12496303  0.527259   -1.312719   -1.411072   -0.63149697
  0.27819863  1.2345058  -0.09572355  1.7174822 ]"
517,"[-0.19472958  0.4466205  -0.8118414  -0.46808755  0.21374515  0.09393821
 -0.362673   -0.8142511   2.5665913  -0.6693124 ]"
518,"[-0.3286727  -0.16805865  1.1943045  -1.0236924  -1.2337252  -0.6339599
  0.06899189  1.533285   -0.68779165  1.2793193 ]"
519,"[-0.612053    0.04681085  0.171469   -0.07729317 -1.3927526   1.7893845
 -1.1697488  -0.41618124  1.3431356   0.31723014]"
520,"[-0.1558882  -0.03110498  0.6006752  -1.3856082  -1.4684485  -0.8734141
  0.13536616  1.3409064   0.5511807   1.2863368 ]"
521,"[-0.22037299 -0.16659781  0.9790524  -1.1557072  -1.32392    -0.16492641
  0.17988117  1.1569908  -0.9115474   1.6271478 ]"
522,"[-0.30099663  0.388113   -1.1296767  -0.4605971   1.7967758  -0.33015427
  0.02149191 -1.0536427   1.5953273  -0.5266407 ]"
523,"[-0.34273684 -0.11485325  0.648625   -0.92600334 -1.536052    0.74102634
 -0.11556619  0.26056394 -0.6569866   2.0419812 ]"
524,"[-0.3127007  -0.1688406   0.8874097  -1.0690937  -1.1849345  -1.038761
  0.18977098  1.462501   -0.2553326   1.4899805 ]"
525,"[-0.24762253 -0.16767782  1.0610427  -1.1169447  -1.2844596  -0.33654967
  0.15805346  1.3028225  -0.87858325  1.5099182 ]"
526,"[-0.2250965  -0.16522925  0.93540984 -1.1877612  -1.3184253  -0.28005484
  0.20285478  1.2708346  -0.81395423  1.5814219 ]"
527,"[-0.3008632   0.2613582  -0.95156586 -0.31855592  2.5551422  -0.18586166
 -0.06687085 -0.9105513   0.4246984  -0.50692993]"
528,"[-0.1744715  -0.16887997  0.89501595 -1.1228532  -1.3675373   0.03252231
  0.17760094  0.919919   -0.9746429   1.7833254 ]"
529,"[-0.3936493  -0.15212117  1.3454834  -0.9378337  -1.4975184  -0.14387803
 -0.23127073  1.720469   -0.4924679   0.7827863 ]"
530,"[-0.03923457 -0.15600635  0.6188372  -1.0182049  -1.3264061   0.83854854
  0.19978929  0.30824465 -1.2606839   1.8351159 ]"
531,"[-0.36837783 -0.15634207  1.0355264  -1.0504364  -1.1976447  -0.9161416
  0.09863852  1.6767263  -0.3303326   1.2083849 ]"
532,"[-0.19579332 -0.17132127  0.9531285  -1.1360496  -1.3435698   0.00255134
  0.17950486  1.0598216  -1.008349    1.6600766 ]"
533,"[-0.33409104  0.3849178  -1.1148844  -0.42380285  2.0864842  -0.24308154
 -0.04403209 -1.0423158   1.24567    -0.5148645 ]"
534,"[-0.49560714 -0.15183763  0.74439555 -0.9999139  -1.1238656  -1.084501
 -0.10099967  1.9542732   0.8713212   0.38673502]"
535,"[-0.2867542  -0.17458785  1.2243031  -1.0457783  -1.3055065  -0.3722644
  0.06503372  1.4526942  -0.8366762   1.2795371 ]"
536,"[-0.30487755 -0.1729295   1.1340348  -1.0696667  -1.2489058  -0.5219972
  0.11679413  1.4324012  -0.76583797  1.4009835 ]"
537,"[-0.3677764  -0.16040428  1.2679302  -1.0112323  -1.2604749  -0.6248704
 -0.00929308  1.6846646  -0.557843    1.0392995 ]"
538,"[ 0.13892518  0.440974   -1.1260777  -0.7991885   0.31276277  0.01238643
  0.46395388 -1.0243667   2.2510922  -0.6704616 ]"
539,"[-0.20695285 -0.17341667  1.0213332  -1.1200842  -1.3220751  -0.10420841
  0.17580071  1.1340389  -1.0015153   1.5970795 ]"
540,"[-0.20967835 -0.15811737  0.8807881  -1.1796792  -1.3410764  -0.15771927
  0.1953571   1.1122059  -0.85499233  1.712911  ]"
541,"[-0.19889325 -0.08579015  0.30239573 -1.2801384  -1.3546484  -0.94573486
  0.28215584  1.1823049   0.41104898  1.6872993 ]"
542,"[-0.24245472 -0.16614862  1.0610442  -1.1197944  -1.2644255  -0.41339752
  0.16990519  1.2821528  -0.84742415  1.5405439 ]"
543,"[-0.32714793  0.06001266  0.15500218 -0.74132437 -1.6829436   0.8695477
 -0.8535565   0.6765259   1.8814138  -0.03752922]"
544,"[-0.4118295  -0.15122075  1.2732908  -0.964877   -1.1107888  -0.9702203
 -0.00610579  1.770986   -0.33942816  0.91019297]"
545,"[ 0.02516155  0.053797   -0.51821303 -0.61705303 -1.158621    1.9304614
 -0.3763563  -1.1567518   0.63806576  1.1795099 ]"
546,"[-0.58490944 -0.29069608  1.2432619  -0.7303507  -0.743455   -0.9676032
 -0.27005762  1.908334    0.99097615 -0.5555    ]"
547,"[-0.36001658 -0.21422122 -0.21992713  2.7523413   0.17611167 -0.65216875
 -0.23779286 -0.2147429  -0.2784375  -0.75114596]"
548,"[-0.4199022  -0.16611843  1.2020496  -0.9724571  -1.1098275  -0.97968495
  0.0414848   1.7496128  -0.3569448   1.0117885 ]"
549,"[-0.24192111 -0.17549123  1.0728363  -1.108962   -1.2803372  -0.3289689
  0.1660566   1.2956122  -0.90264183  1.5038184 ]"
550,"[-0.26726288  0.3550539  -0.8292908  -0.38597563  0.7638167  -0.43818995
 -0.15650833 -0.9272846   2.4475145  -0.56187284]"
551,"[-0.06490587  0.07635631 -0.6047067  -0.86082613 -1.5034045   1.4357479
 -0.43411723 -0.51592726  1.3974029   1.074381  ]"
552,"[-0.22918916 -0.17315036  0.9628248  -1.1512103  -1.2792851  -0.37768644
  0.21277724  1.2622161  -0.8279285   1.6006334 ]"
553,"[-0.23733316 -0.17436256  1.0639724  -1.1057366  -1.3252637  -0.2320613
  0.14865476  1.2543291  -0.9143472   1.5221478 ]"
554,"[-0.28956136 -0.16671205  0.973306   -1.1353754  -1.2738696  -0.65088993
  0.16029151  1.5036837  -0.54338276  1.4225101 ]"
555,"[-0.37936562 -0.12720804  1.1504368  -1.1202859  -1.3448615  -0.7949658
 -0.06172421  1.5228854  -0.06690382  1.2219921 ]"
556,"[-0.59026915 -0.22130962  1.2412664  -0.86537874 -0.9903155  -0.9779325
 -0.06249133  1.9956524  -0.13781072  0.60858846]"
557,"[-0.26154596 -0.1716094   0.934087   -1.1241719  -1.240709   -0.6060262
  0.23042248  1.375946   -0.695141    1.5587476 ]"
558,"[-0.24891159 -0.15374514  1.0021805  -1.2025146  -1.5969484   0.14373629
 -0.01166287  1.2438669  -0.5895657   1.4135646 ]"
559,"[-0.23111072 -0.17340599  1.0101124  -1.1221404  -1.2791235  -0.3666057
  0.18805648  1.2826694  -0.8680442   1.5595925 ]"
560,"[-0.3365221  -0.16481078  1.2446432  -1.011019   -1.2550275  -0.5891141
  0.03934475  1.530036   -0.6973861   1.2398547 ]"
561,"[-0.21191096 -0.15081364  0.9953412  -1.1317047  -1.6383679   0.45259285
 -0.05746229  1.0726322  -0.7591633   1.4288561 ]"
562,"[-0.52969503 -0.10886034  1.0782332  -0.8837709  -1.8034236   0.06861092
 -0.45493177  1.1188601   0.0864837   1.4284955 ]"
563,"[ 0.02427426  0.40977788 -0.96560913  0.44566664  2.160352   -0.5711456
  0.41506174 -1.1087594   0.2943971  -1.104016  ]"
564,"[-0.2594903  -0.16410215  1.1089017  -1.1096135  -1.3487575  -0.39696068
  0.09539305  1.3349472  -0.7263699   1.4660519 ]"
565,"[-0.3049697  -0.17383738  1.0388398  -1.0867217  -1.2228475  -0.6684783
  0.17320348  1.5022455  -0.6563253   1.3988923 ]"
566,"[-0.43424675 -0.10914256  1.2777747  -0.9234052  -1.1468416  -0.9903875
 -0.19881938  1.9398851   0.14407241  0.4411102 ]"
567,"[-0.3580806   0.39412114 -1.075111   -0.41088924  1.6631973  -0.01588555
 -0.28482312 -1.0667983   1.7475886  -0.59331894]"
568,"[-0.19136898 -0.17003813  0.996005   -1.1581546  -1.3358417  -0.15048158
  0.17625779  1.2286841  -0.9365407   1.5414793 ]"
569,"[-0.26740143  0.49608025 -0.85725003 -0.4035491   0.6636624  -0.25980383
 -0.26017246 -0.9129482   2.4422932  -0.64091045]"
570,"[-0.03496471  0.07343104 -0.23911163 -1.4647751  -1.5128245  -0.24915719
 -0.00220432  0.7065219   1.7029761   1.0201083 ]"
571,"[-0.26154533 -0.17576155  1.0290643  -1.0928441  -1.2210451  -0.63631386
  0.20216906  1.4300613  -0.73277783  1.4589937 ]"
572,"[-0.03744259 -0.13573833  0.4805123  -1.0737704  -1.2891316   0.6227275
  0.24673459  0.17821608 -1.068645    2.0765376 ]"
573,"[-0.2710136  -0.16783448  1.0548456  -1.1103761  -1.2469189  -0.47809944
  0.17123646  1.3213878  -0.8049196   1.5316916 ]"
574,"[-0.26311344 -0.16904674  1.0512922  -1.0974178  -1.267272   -0.4179973
  0.1602342   1.2803097  -0.8396834   1.5626953 ]"
575,"[-0.26697633 -0.17118645  0.96972406 -1.1068295  -1.228597   -0.6718344
  0.21701872  1.3470156  -0.6613186   1.5729848 ]"
576,"[-0.30324534 -0.16468948  1.1892898  -1.0740902  -1.2921969  -0.5288404
  0.06603143  1.5007184  -0.676959    1.2839805 ]"
577,"[-0.1620734  -0.15951921  0.9783967  -1.17386    -1.3143287  -0.19799945
  0.2013894   1.141039   -0.93478966  1.6217448 ]"
578,"[-0.20327818 -0.16642496  0.93350995 -1.1622242  -1.3179971  -0.14350063
  0.20318002  1.0972137  -0.92742544  1.6869465 ]"
579,"[-0.18766966 -0.1776061   0.9558172  -1.0995585  -1.3602889   0.08453351
  0.1712685   1.03303    -1.0677257   1.6482011 ]"
580,"[-0.2377038  -0.16689527  0.9438799  -1.1373234  -1.3222336  -0.23432142
  0.17651999  1.2051847  -0.86768943  1.640581  ]"
581,"[-0.21610007 -0.16529337  0.9479429  -1.1349056  -1.365206   -0.04009091
  0.15419622  1.0448775  -0.9277099   1.7022889 ]"
582,"[-0.10833577 -0.15707536  0.76042485 -1.2220417  -1.4107077   0.20168462
  0.2119931   0.9013607  -0.9424193   1.7651174 ]"
583,"[-0.23537672 -0.17309427  1.0270624  -1.117932   -1.2875087  -0.27115643
  0.18183488  1.2350032  -0.9274061   1.5685736 ]"
584,"[-0.32302684 -0.14994015  1.2311953  -1.0440559  -1.2047597  -0.80726093
  0.029403    1.7010438  -0.4608707   1.0282727 ]"
585,"[-0.2791641  -0.14987813  1.0758259  -1.1839774  -1.56531     0.07803566
 -0.04273787  1.3265228  -0.59099054  1.3316741 ]"
586,"[-0.3180983  -0.18409832  1.2227091  -0.9505086  -1.5243517   0.2637543
 -0.09560061  1.239132   -0.93741626  1.2844789 ]"
587,"[-0.24092479  0.48990482 -0.82377017 -0.46920654  0.28898707  0.07515258
 -0.30983064 -0.841972    2.5331786  -0.70151895]"
588,"[-0.15546991  0.4290384  -0.7154478  -0.41018292  0.18065152 -0.37080133
 -0.10952584 -0.80288756  2.6166122  -0.66198677]"
589,"[-0.17691742 -0.14341706  0.8249877  -1.2572163  -1.3925478  -0.26278204
  0.21230887  1.0082893  -0.6130282   1.8003232 ]"
590,"[-0.28861627 -0.17143825  1.0696878  -1.0756431  -1.2128559  -0.7940405
  0.14679354  1.4720527  -0.5556589   1.4097183 ]"
591,"[-0.34501356  0.44760326 -1.0594796  -0.43743557  1.4136857   0.05058181
 -0.29243696 -1.0564438   1.9329664  -0.6540277 ]"
592,"[-0.23417526 -0.17169733  1.1109143  -1.1052147  -1.3039074  -0.28152016
  0.14200565  1.3011509  -0.9162845   1.4587281 ]"
593,"[-0.22755656 -0.1749068   1.0321646  -1.0994599  -1.3027809  -0.2158309
  0.16763783  1.1986716  -0.96200347  1.5840651 ]"
594,"[-0.31872153 -0.1629268   1.075384   -1.102718   -1.2390753  -0.68699735
  0.13044804  1.4350164  -0.57460475  1.4441959 ]"
595,"[-0.3426482  -0.16419874  1.0432358  -1.0340917  -1.1608851  -1.006376
  0.14290245  1.5585117  -0.36199713  1.3255475 ]"
596,"[-0.2837416  -0.1718571   1.1324277  -1.083623   -1.297027   -0.36739838
  0.10861107  1.3653958  -0.8331254   1.4303368 ]"
597,"[-0.41090354 -0.17418484  1.2769947  -0.93900514 -1.0777235  -0.9572817
  0.04242215  1.7614641  -0.46501985  0.94323736]"
