,embeddings
43,"[-0.48693258 -0.2591944   1.0747974  -0.8761891  -1.0317477  -0.9375458
  0.05130472  1.8420004  -0.47543874  1.0989466 ]"
44,"[-0.08354557 -0.23127078  0.7889739  -1.0650434  -1.274466    0.09769313
  0.25790167  0.86121035 -1.1807896   1.8293353 ]"
45,"[-0.3468238   0.36114958 -1.080245   -0.3852966   1.916965   -0.2390539
 -0.18883622 -1.025794    1.5250057  -0.5370709 ]"
46,"[-1.6222775e-01 -2.4064761e-01  1.0596509e+00 -9.3204886e-01
 -1.3144950e+00  6.4081739e-04  1.2057254e-01  1.1062975e+00
 -1.2139074e+00  1.5761651e+00]"
47,"[-0.27221316 -0.20650117  1.062557   -0.9995105  -1.1486069  -0.80151385
  0.15724719  1.2268237  -0.6885006   1.6702185 ]"
48,"[-0.37140036 -0.25351575  1.0118843  -0.90952146 -1.0546404  -0.9358537
  0.1538494   1.6685348  -0.63251764  1.3231806 ]"
49,"[-0.02064976 -0.18358585  0.29019797 -0.8623466  -1.4191333   1.0179468
  0.03768376  0.03567094 -0.9438073   2.0480218 ]"
50,"[-0.10258784 -0.20892201  0.97150546 -1.1056739  -1.810099    0.52825534
 -0.23426677  1.2577789  -0.46630913  1.1703182 ]"
51,"[-0.12333022 -0.24275991  0.91490144 -0.9844243  -1.29849     0.11106512
  0.18281311  0.89363986 -1.2166609   1.7632451 ]"
52,"[-0.17991067 -0.23476629  1.0428414  -0.9951679  -1.2400048  -0.33381426
  0.1717329   1.3191861  -1.062418    1.5123229 ]"
53,"[-0.22855675 -0.2118593   1.0358535  -0.9444158  -1.2302179  -0.26489976
  0.12238313  1.1066158  -1.0934523   1.7085494 ]"
54,"[-0.196238   -0.23236601  1.1107502  -0.9233814  -1.2895501  -0.15058362
  0.1003405   1.2259071  -1.1565139   1.5116353 ]"
55,"[-0.49776238 -0.29708084  1.0507954  -0.8736824  -1.0126015  -0.987119
  0.0637104   1.8010232  -0.41915545  1.1718719 ]"
56,"[-0.02772746  0.08938858 -0.5251125  -0.5604701  -0.35876122 -0.61855406
  0.16272698 -0.43951562  2.7320757  -0.45404994]"
57,"[-0.17934988 -0.22819719  1.0451406  -0.9546408  -1.2495896  -0.24291112
  0.14389563  1.1528114  -1.1238766   1.6367173 ]"
58,"[-0.24882255 -0.2205363   0.979936   -0.9314343  -1.075446   -0.91314095
  0.21805723  1.3873756  -0.77604735  1.5800589 ]"
59,"[-0.17271839 -0.22459216  0.928947   -1.0125908  -1.1614152  -0.45785123
  0.24497108  1.108401   -1.02398     1.7708281 ]"
60,"[-0.20210212 -0.12553465 -0.5728409  -0.72039634 -0.71765447 -0.78462887
 -0.12074035  0.8948183   2.4766998  -0.12762083]"
61,"[-0.13164245 -0.23168047  0.99297476 -1.0702906  -1.2418823  -0.5295643
  0.21040088  1.4520186  -0.88082     1.4304867 ]"
62,"[-0.3275708  -0.21444725  1.2519608  -0.85557973 -1.1532553  -0.79351467
  0.01818756  1.6325629  -0.7342898   1.175946  ]"
63,"[-0.17985025 -0.23107906  1.0260705  -0.9847056  -1.2611586  -0.12930542
  0.16246209  1.120089   -1.155816    1.633293  ]"
64,"[-0.24812458 -0.23768212  0.90249765 -0.9925409  -1.133929   -0.99792403
  0.2155168   1.2357846  -0.4758298   1.7322323 ]"
65,"[-0.06568494  0.15377396 -0.86520195 -0.4556544   0.70636964 -0.70257986
  0.2556948  -0.86258864  2.4226975  -0.5868261 ]"
66,"[-0.20897841 -0.22422318  1.064436   -0.95555013 -1.1835008  -0.46767905
  0.17119148  1.2295225  -1.041958    1.6167395 ]"
67,"[-0.19956033 -0.23877154  1.1177913  -0.9230663  -1.2840301  -0.08731479
  0.10907812  1.1438849  -1.190029    1.5520176 ]"
68,"[-0.45603266 -0.43402892  0.75194114 -0.8579986  -0.7650277  -1.3648001
 -0.16243999  1.9544032   0.42378896  0.9101945 ]"
69,"[-0.17686915 -0.23489572  0.9822364  -0.98325473 -1.2296453  -0.2712712
  0.19831882  1.138056   -1.1069007   1.684226  ]"
70,"[-0.0723597  -0.42470068 -0.33452842 -0.95207924 -0.8464896  -1.2562566
  0.6280777   1.181513    1.9199594   0.15686397]"
71,"[-0.43213415 -0.2390831   1.1947335  -0.8766532  -1.0377314  -0.92366594
 -0.00370045  1.8734113  -0.492266    0.9370894 ]"
72,"[-0.38515237 -0.21238281  1.5317752  -0.37972575 -1.6415373   0.30566168
 -0.6979991   1.7005602  -0.35997683  0.13877657]"
73,"[-0.2095254  -0.22353768  1.0459528  -0.9837831  -1.1685463  -0.49010393
  0.18955389  1.3196578  -1.0293647   1.5496972 ]"
74,"[-0.19994251 -0.22838731  1.1480604  -0.95427215 -1.2734758  -0.39281884
  0.08735696  1.5002822  -0.98261493  1.2958117 ]"
75,"[-0.2394904  -0.21858369  1.0807595  -0.9258914  -1.173325   -0.5079295
  0.14869224  1.2725767  -1.0288837   1.5920753 ]"
76,"[-0.13001643 -0.22017802  0.90083325 -0.85463077 -1.3819895   0.5398723
  0.04532945  0.6561132  -1.3040951   1.7487602 ]"
77,"[-0.5292989  -0.16162933  1.3789077  -0.77017766 -0.9199773  -0.8639764
 -0.42485023  1.9049513   0.794062   -0.40801156]"
78,"[-0.16402668 -0.22459093  1.0944595  -0.9457177  -1.260278   -0.28564104
  0.13848794  1.2257001  -1.1215146   1.5431217 ]"
79,"[-0.22013672 -0.21827176  1.1417199  -0.94884056 -1.1623089  -0.54806054
  0.15491417  1.3679825  -1.0203542   1.4533563 ]"
80,"[-0.29402414 -0.21716626  1.259615   -0.8842483  -1.1434419  -0.96235305
  0.02869053  1.5945224  -0.5653665   1.183772  ]"
81,"[-0.13244542 -0.24019131  0.87661463 -0.97985387 -1.2920467   0.04773692
  0.19281213  0.9359755  -1.1936687   1.7850671 ]"
82,"[-0.24673317 -0.23877758  0.9052352  -1.0871129  -1.7491022   0.45924965
 -0.17647888  1.0095485  -0.41984072  1.5440128 ]"
83,"[-0.22133483 -0.22125515  1.0194991  -0.97330034 -1.1701007  -0.61855024
  0.18253796  1.2244523  -0.9010009   1.6790531 ]"
84,"[-0.5473144  -0.22428212  1.4457905  -0.73878545 -1.0402086  -0.97322166
 -0.27376875  1.9287771  -0.01236288  0.435376  ]"
85,"[-0.30436847  0.28617358 -1.0037317  -0.3088387   1.68256    -0.428517
 -0.11739687 -0.9756992   1.821429   -0.6516107 ]"
86,"[-0.33778992  0.33919317 -1.0747012  -0.38865164  1.9688903  -0.27013355
 -0.16161731 -1.0252053   1.4717225  -0.52170724]"
87,"[ 0.24175148 -0.25904623 -0.05501131 -1.0153391  -0.83684725 -1.689876
  1.1369264   0.6906466   1.571116    0.21567939]"
88,"[-0.2814692  -0.21886738  1.4757177  -0.70756537 -1.4035246  -0.17997834
 -0.26337078  1.7527845  -0.80641145  0.63268435]"
89,"[-0.3422035  -0.20982334  1.3208947  -0.84491634 -1.1552402  -0.646315
  0.00240167  1.5610665  -0.87773794  1.191874  ]"
90,"[-0.1510931  -0.22991857  0.9139096  -1.0052221  -1.2384275  -0.23495857
  0.21355914  1.1259665  -1.1098055   1.71599   ]"
91,"[-0.22055748 -0.21658343  1.2823966  -0.9108098  -1.2037735  -0.5049241
  0.07327634  1.4702277  -1.0099593   1.2407075 ]"
92,"[-0.4383176  -0.24814652  1.1584098  -0.88059384 -1.054695   -0.9558104
  0.01821683  1.7500329  -0.48947218  1.140376  ]"
93,"[-0.27410284 -0.22825024  1.3022186  -0.7475847  -1.5968727   0.30463228
 -0.32027483  1.5140828  -0.8655242   0.9116776 ]"
94,"[-0.26595977 -0.2505205   1.0382394  -0.9661762  -1.1120387  -0.9772159
  0.16547067  1.7359657  -0.5272887   1.1595237 ]"
95,"[-0.23095849 -0.23055479  1.1686385  -0.8953533  -1.4999188   0.32973292
 -0.09339735  1.1492682  -1.0719091   1.3744527 ]"
96,"[-0.2588568  -0.22550517  1.38854    -0.71622986 -1.6386586   0.38611785
 -0.38209057  1.5010229  -0.8037921   0.74945223]"
97,"[-0.17926028 -0.22584619  1.0029181  -0.9927991  -1.1837313  -0.44235802
  0.20987153  1.2079738  -1.0480639   1.6512961 ]"
98,"[-0.14665392 -0.23777846  0.8916681  -0.9923121  -1.2634474  -0.11869817
  0.21161222  1.0581005  -1.148475    1.7459837 ]"
99,"[-0.29792514  0.33490264 -1.1417243  -0.51936436  1.653195   -0.26590034
  0.04828625 -1.0641345   1.7449816  -0.4923166 ]"
100,"[-0.21045156 -0.23037885  1.0841695  -0.8972196  -1.3136669   0.05890525
  0.07387623  1.0562282  -1.2249967   1.6035354 ]"
101,"[-0.18701315 -0.22127014  0.9297359  -1.0375795  -1.3135006  -0.10955425
  0.13499624  0.9792012  -0.9875867   1.8125709 ]"
102,"[-0.28928754  0.4029202  -0.9829651  -0.36001402  1.1704834  -0.25542238
 -0.2476475  -0.9770913   2.1877031  -0.6486788 ]"
103,"[-0.37357843 -0.22417775  1.3796848  -0.75686634 -1.3823361   0.17877814
 -0.17632344  1.3995804  -1.1178417   1.0730824 ]"
104,"[-0.22800271 -0.22403945  1.1674513  -0.9623046  -1.199845   -0.5546003
  0.11658256  1.5224439  -0.9289271   1.291242  ]"
105,"[-0.36939755  0.27993023 -0.98048055 -0.25958475  2.2452896  -0.23908581
 -0.14334267 -0.943902    1.1169301  -0.7063567 ]"
106,"[-0.24696648 -0.21804768  1.1375242  -0.8255565  -1.3109909  -0.10531382
  0.0188382   1.0558641  -1.157778    1.652427  ]"
107,"[-0.14305425 -0.24322374  1.0168043  -0.9751672  -1.2954608   0.01320669
  0.166937    1.0496793  -1.216705    1.6269841 ]"
108,"[-0.19893296 -0.23615254  1.0733637  -0.9582866  -1.2105211  -0.3658649
  0.16872989  1.2606562  -1.0909284   1.5579369 ]"
109,"[-0.19890147 -0.2246577   0.9814431  -0.95074105 -1.252875   -0.18312977
  0.14750439  1.08396    -1.1268587   1.7242559 ]"
110,"[-0.12470593 -0.2425736   0.84374106 -0.94380975 -1.3089322   0.27045086
  0.16595845  0.7426284  -1.247195    1.8444372 ]"
111,"[-0.26261774 -0.21981813  1.3182696  -0.8426171  -1.2282637  -0.516076
  0.01218985  1.5224025  -0.9684438   1.1849749 ]"
112,"[-0.4216343  -0.01704502 -0.49729535  0.50230455 -0.82836545  1.8447828
 -1.1754937  -1.0012908   1.3346348   0.25940177]"
113,"[-0.15969431 -0.22966231  0.9856819  -0.9739976  -1.2623909  -0.08742654
  0.1644281   0.9876225  -1.1669695   1.7424083 ]"
114,"[-0.2476778  -0.22164273  1.3060027  -0.8790802  -1.3288809  -0.6364516
 -0.10173786  1.7808009  -0.54436094  0.873028  ]"
115,"[-0.19616753 -0.2393129   1.076619   -0.8468596  -1.3913946   0.393787
  0.02040489  1.0351838  -1.314292    1.4620316 ]"
116,"[-0.24383996 -0.2320744   1.0224991  -0.7593102  -1.5184081   0.5593185
 -0.13378471  0.8946407  -1.1626406   1.5735992 ]"
117,"[-0.33819816 -0.22858591  1.3468521  -0.7406153  -1.4287277  -0.23259118
 -0.20073965  1.5893445  -0.8272892   1.0605506 ]"
118,"[-0.160822   -0.23392853  1.0195739  -0.996511   -1.2447225  -0.21539211
  0.18821944  1.1598718  -1.1353524   1.6190637 ]"
119,"[-0.19762269 -0.22571908  1.0616176  -0.9604011  -1.2410675  -0.257376
  0.14606702  1.1496384  -1.1111321   1.6359965 ]"
120,"[-0.14287649 -0.23393662  0.6864558  -1.104341   -1.2509111  -1.1042378
  0.0499344   1.9440917   0.5772028   0.57861924]"
