,0,1,2,3,4,5,6,7,8,9,label
0,-0.84750247,1.7331022,-0.9917973,0.060960617,0.86997175,-0.39898285,-0.89625347,-0.7385562,1.4092133,-0.20015638,MB
1,-0.8470453,1.7336688,-0.9951982,0.05391426,0.87360317,-0.39667475,-0.89459085,-0.73545235,1.4077854,-0.20001021,MB
2,-0.8469452,1.7333711,-0.9912839,0.0638142,0.8709559,-0.39957014,-0.897551,-0.73967534,1.4072361,-0.20035215,MB
3,-0.8489449,1.732458,-0.9954028,0.059192404,0.8735614,-0.39552855,-0.8981049,-0.7358809,1.4060322,-0.19738075,MB
4,-0.8443982,1.7328768,-0.9924713,0.05648651,0.8710898,-0.39827797,-0.8983231,-0.7345656,1.4108906,-0.20330721,MB
5,-0.84692293,1.7343069,-0.99217725,0.053336453,0.8724476,-0.39646384,-0.89641106,-0.7372478,1.4080597,-0.19892703,MB
6,-0.84882104,1.7323651,-0.99434227,0.06110019,0.8716433,-0.3967814,-0.8974134,-0.7371435,1.4074166,-0.1980243,MB
7,-0.8465153,1.7349784,-0.9902407,0.050556738,0.87369746,-0.40024805,-0.8951107,-0.73719245,1.4080837,-0.19800904,MB
8,-0.8483165,1.7336969,-0.99309736,0.055220235,0.87269276,-0.3966013,-0.8964484,-0.7359153,1.4077289,-0.19896078,MB
9,-0.84049946,1.7293828,-0.99801946,0.062430933,0.86925656,-0.3936903,-0.8993059,-0.73772204,1.4132304,-0.20506336,MB
10,-0.8494921,1.7350295,-0.99200743,0.04946663,0.8743145,-0.39877924,-0.8947918,-0.7341043,1.4070574,-0.1966923,MB
11,-0.84824264,1.7327808,-0.9920251,0.06373407,0.86960775,-0.40089777,-0.8967103,-0.73715985,1.4090103,-0.20009682,MB
12,-0.84734976,1.732236,-0.99524087,0.06513481,0.8709515,-0.39857316,-0.89708686,-0.7373194,1.4073851,-0.20013759,MB
13,-0.8461081,1.7296125,-0.99687725,0.06954922,0.87015074,-0.39462918,-0.90211296,-0.7361201,1.4087185,-0.20218304,MB
14,-0.84545773,1.7345498,-0.9840291,0.00709534,0.9064093,-0.39725724,-0.9029106,-0.7214299,1.3982062,-0.19517624,APN
15,-0.8466117,1.7341845,-0.9873037,0.0057241297,0.9071723,-0.39293745,-0.9036551,-0.71849996,1.3973744,-0.19544694,APN
16,-0.84532285,1.7343899,-0.9861186,0.0035498075,0.90755206,-0.39483646,-0.90232134,-0.7197203,1.3982052,-0.19537725,APN
17,-0.845959,1.7355638,-0.9838229,0.0015580374,0.9084412,-0.3985675,-0.90206057,-0.719294,1.3970754,-0.19293366,APN
18,-0.8450368,1.736129,-0.98319364,0.0007783868,0.9078501,-0.39760527,-0.9018617,-0.7206744,1.3973408,-0.19372486,APN
19,-0.8475211,1.7355099,-0.9822483,0.0032442594,0.9067185,-0.39835814,-0.9026142,-0.71923244,1.3980658,-0.19356395,APN
20,-0.8448383,1.7347658,-0.9858171,-0.0017573542,0.9084544,-0.39161763,-0.9046872,-0.7167165,1.39846,-0.19624497,APN
21,-0.8456797,1.7354145,-0.9816573,0.0040589296,0.9066604,-0.39796963,-0.90354013,-0.7202453,1.39847,-0.19551237,APN
22,-0.8461136,1.7348921,-0.9853776,0.0032527046,0.9086228,-0.39416748,-0.90397793,-0.7195849,1.396328,-0.19387533,APN
23,-0.8458594,1.7338443,-0.98755556,0.0030861006,0.9079394,-0.39540035,-0.90191007,-0.71918166,1.3980104,-0.19297367,APN
24,-0.8426347,1.7302262,-0.9933834,8.5664426e-05,0.9088237,-0.38860232,-0.90519255,-0.7152342,1.4012214,-0.19531085,APN
25,-0.8459174,1.734307,-0.9872593,0.00215248,0.9085027,-0.3927431,-0.9030902,-0.7192903,1.3970718,-0.19373381,APN
26,-0.845696,1.7347726,-0.9869921,-1.2078971e-05,0.90947735,-0.3919857,-0.9053996,-0.7159803,1.3964742,-0.19465709,APN
27,-0.84583604,1.7357259,-0.98266697,0.002587257,0.9073687,-0.39799786,-0.9029767,-0.7193774,1.3977561,-0.19458391,APN
28,-0.84588873,1.7354541,-0.9839298,0.0038345421,0.90796304,-0.39568877,-0.9032955,-0.72010034,1.3967848,-0.19513337,APN
29,-0.84699875,1.7338895,-0.9847811,0.006748987,0.9062356,-0.395699,-0.903197,-0.7198194,1.3987682,-0.19514735,APN
30,-0.8460315,1.7339355,-0.9859565,0.0053524654,0.90736395,-0.3953089,-0.9033172,-0.7196603,1.3979689,-0.19434673,APN
31,-0.8455002,1.735028,-0.98474324,0.0026387335,0.90751195,-0.39725116,-0.9022901,-0.7193152,1.3980259,-0.1941045,APN
32,-0.8475243,1.732151,-0.9900556,0.010249965,0.9071857,-0.39175266,-0.9047269,-0.71836114,1.39722,-0.19438593,APN
33,-0.84670806,1.7349708,-0.9887901,-0.003108038,0.91020334,-0.39067408,-0.9024341,-0.7165803,1.3960807,-0.19296087,APN
34,-0.8472027,1.7345767,-0.98244244,0.005211343,0.9067949,-0.39728892,-0.90489346,-0.71914953,1.3980817,-0.19368769,APN
35,-0.8469089,1.7326236,-0.98886883,0.0059566363,0.90691304,-0.3919942,-0.9037732,-0.71830815,1.3986403,-0.19428031,APN
36,-0.84513694,1.7347091,-0.98564935,0.0040130625,0.90781105,-0.3969118,-0.9020054,-0.7196735,1.3977848,-0.1949396,APN
37,-0.84556675,1.7349399,-0.9846954,0.0038164456,0.9078585,-0.3960021,-0.9033483,-0.7201116,1.3971679,-0.194059,APN
38,-0.84798205,1.7345959,-0.9866548,0.0019505087,0.90867513,-0.3943629,-0.90298706,-0.7173801,1.3965522,-0.19240727,APN
39,-0.8465735,1.7329476,-0.9868672,0.0074144867,0.9062659,-0.395191,-0.9037662,-0.7184686,1.3991967,-0.19495873,APN
40,-0.8457723,1.7358766,-0.9824432,0.0038173709,0.9075334,-0.3980833,-0.90329415,-0.72068924,1.3968577,-0.1938045,APN
41,-0.8468769,1.7338884,-0.9860899,0.0054595233,0.90740055,-0.3931847,-0.9043769,-0.71932924,1.3974785,-0.19436866,APN
42,-0.84441406,1.7355539,-0.98513895,-0.0006305388,0.90865695,-0.39729702,-0.9009787,-0.72032315,1.3974876,-0.1929157,APN
43,-0.8462754,1.7342002,-0.9860337,0.007229018,0.906528,-0.39479488,-0.90375423,-0.71994287,1.3976287,-0.19478464,APN
44,-0.846003,1.7333771,-0.9864978,0.00641212,0.9073526,-0.39468223,-0.90450305,-0.71945417,1.397881,-0.1938823,APN
45,-0.84498304,1.7354147,-0.9838804,0.0006274376,0.9084622,-0.39740676,-0.90163165,-0.72098905,1.3975059,-0.19312018,APN
46,-0.8468967,1.7346694,-0.9849175,0.003968605,0.9078836,-0.3954456,-0.9040664,-0.7189703,1.3969308,-0.19315694,APN
47,-0.835459,1.7327676,-1.0137279,0.15102662,0.81633574,-0.3953936,-0.8947045,-0.76537967,1.4130006,-0.20846675,NOT
48,-0.8364889,1.7341425,-1.0136694,0.14998229,0.8172511,-0.39702302,-0.8933475,-0.7655616,1.4109566,-0.20624128,NOT
49,-0.8347228,1.7341685,-1.013111,0.15100604,0.8165209,-0.39611724,-0.8928231,-0.7679177,1.4116385,-0.20864196,NOT
50,-0.8390812,1.7368484,-0.99556524,0.035548177,0.87256074,-0.4062014,-0.8869691,-0.73334527,1.4132231,-0.1970169,CA1
51,-0.847191,1.7341752,-0.9927463,0.061412923,0.8690688,-0.3977191,-0.8973458,-0.7369289,1.4083349,-0.20106108,CA1
52,-0.8444744,1.7332951,-0.99685425,0.05299833,0.87211907,-0.39731926,-0.89560765,-0.73466223,1.4093257,-0.1988198,CA1
53,-0.84624034,1.7284535,-1.0058954,0.06179678,0.8709635,-0.38782954,-0.8976159,-0.73650855,1.4089339,-0.19605811,CA1
54,-0.84829557,1.7316514,-0.99752873,0.06548174,0.8687616,-0.3979495,-0.89600533,-0.73591125,1.408988,-0.19919236,CA1
55,-0.84862393,1.7324501,-0.9957175,0.063343555,0.869571,-0.39786994,-0.89613074,-0.7376266,1.4079877,-0.19738413,CA1
56,-0.8471814,1.7326392,-0.99582624,0.06354416,0.8696905,-0.3988231,-0.8952597,-0.7384072,1.4081753,-0.19855176,CA1
57,-0.8483503,1.7325028,-0.9938763,0.065978415,0.86823124,-0.39917547,-0.8967665,-0.7377281,1.4089332,-0.19975057,CA1
58,-0.84658766,1.7324132,-0.9929582,0.06749875,0.8671606,-0.40279108,-0.8961352,-0.73938036,1.4099294,-0.19914947,CA1
59,-0.84631526,1.731362,-0.9928517,0.07211232,0.86687696,-0.40058494,-0.8982323,-0.7409742,1.409601,-0.2009936,CA1
60,-0.84832644,1.7327023,-0.99445707,0.06510621,0.8691242,-0.4006602,-0.8962477,-0.73813516,1.4078685,-0.1969748,CA1
61,-0.8475067,1.7329398,-0.99588513,0.0625803,0.8692511,-0.39521858,-0.89683247,-0.73778594,1.4080732,-0.19961521,CA1
