,embeddings
42,"[ 1.0893594   1.756002   -0.94768006 -0.75318235  0.94561493  0.650587
 -0.72047913 -0.85114765 -0.68456465 -0.48450935]"
43,"[ 1.3410834   1.7354608  -0.91621196 -0.6396217   0.72524077  0.54701984
 -0.35830876 -0.8763736  -0.7273775  -0.83091074]"
44,"[ 1.1401601   1.8438196  -0.8685465  -0.6681049   0.75206035  0.64082855
 -0.43408427 -0.86028767 -0.7692198  -0.77662575]"
45,"[ 1.197794    1.7659403  -0.94261056 -0.63118696  0.6919498   0.7293079
 -0.34996703 -0.8904822  -0.77860045 -0.79214543]"
46,"[ 1.4065944   1.3726385  -0.9761329  -0.7575673   0.91840255  0.7840749
 -0.26153058 -0.9423859  -0.72861165 -0.8154814 ]"
47,"[ 1.1385789   1.8206725  -0.88676065 -0.7781003   0.7467083   0.68635267
 -0.46778575 -0.91209155 -0.7432115  -0.6043624 ]"
48,"[ 1.1801212   1.7944008  -0.88734484 -0.7217665   0.7504956   0.66419023
 -0.40010118 -0.9179212  -0.77122575 -0.69084764]"
49,"[ 1.0916073   1.837444   -0.89040774 -0.7669626   0.8042703   0.66952866
 -0.5598037  -0.8675006  -0.7622521  -0.5559231 ]"
50,"[ 1.2699261   1.3441168  -0.8841564  -0.79992795  1.0286127   0.9657975
 -0.75634336 -0.8600613  -0.6770464  -0.6309185 ]"
51,"[ 0.88761985  1.8093629  -0.90943927 -0.8228877   0.88956064  0.80022836
 -0.7720226  -0.8906614  -0.7421918  -0.249569  ]"
52,"[ 0.9771903   1.9340599  -0.83874905 -0.7480151   0.7420321   0.71237457
 -0.563626   -0.85404855 -0.75084037 -0.6103777 ]"
53,"[ 1.2175417   1.7928392  -0.9049687  -0.66732913  0.78332     0.5994529
 -0.47258928 -0.8350158  -0.74029285 -0.7729573 ]"
54,"[ 1.2517964   1.7391946  -0.91662014 -0.63185847  0.79010487  0.602006
 -0.36154363 -0.8882031  -0.73518443 -0.84969246]"
