,embeddings
372,"[-0.83735716 -1.1854289   1.4580249   1.4113191  -0.78719306 -0.7517844
 -0.19451909  1.2196323  -0.09424347 -0.23845007]"
373,"[ 1.3230752   1.6206359  -1.0279287  -0.8811572   0.79959124  0.62395674
 -0.3564636  -0.98720336 -0.69612265 -0.41838416]"
374,"[ 1.1650037   1.841123   -0.9174484  -0.7981252   0.71996015  0.62129116
 -0.44157088 -0.90330225 -0.76783806 -0.5190927 ]"
375,"[ 1.1537713   1.8350492  -0.87771755 -0.7511912   0.74717903  0.6373595
 -0.41694796 -0.8977785  -0.72750187 -0.70222175]"
376,"[-0.733972   -1.2765473   1.0628403   2.0406284  -0.28211373 -0.28917575
 -0.33298835  0.809649   -0.26466876 -0.73365176]"
377,"[ 1.1523534   1.8673528  -0.86419564 -0.7288807   0.72081316  0.6179594
 -0.44793934 -0.8655531  -0.6970297  -0.75488085]"
378,"[ 1.1683657   1.7691127  -0.88518983 -0.6773601   0.80648506  0.6569013
 -0.36444613 -0.89026475 -0.76392007 -0.8196833 ]"
379,"[ 1.7473689   0.03635678 -0.9077622  -0.3348793   1.5034828   0.7934155
 -0.7201942  -0.7295853  -0.46529227 -0.9229102 ]"
380,"[ 1.1131265   1.8246692  -0.85004765 -0.6964991   0.8173722   0.65391105
 -0.4794051  -0.85315883 -0.76108    -0.7688893 ]"
381,"[ 1.1751359   1.5422858  -0.96991825 -0.91445535  0.95682454  0.83274925
 -0.4512204  -0.95014167 -0.64490265 -0.57635736]"
382,"[ 0.8945617   1.9481833  -0.7897956  -0.69962543  0.77540016  0.7648429
 -0.6844573  -0.81583095 -0.70620275 -0.687076  ]"
383,"[ 1.2583932   1.766298   -0.9663992  -0.7878295   0.6923293   0.6265274
 -0.37898237 -0.9286232  -0.7871714  -0.4945412 ]"
384,"[ 1.0461384   1.8765851  -0.8726687  -0.69467086  0.7911995   0.68767196
 -0.5687751  -0.8218773  -0.72586    -0.71774316]"
385,"[ 1.1380787   1.8900707  -0.91815865 -0.79554003  0.7419216   0.547866
 -0.4268159  -0.88669    -0.69289804 -0.59783494]"
386,"[ 1.2070458   1.6402026  -0.913853   -0.8291614   0.903542    0.7220541
 -0.4406187  -0.9455629  -0.6988324  -0.64481735]"
387,"[ 1.1662644   1.6704949  -1.0246869  -0.8658726   0.8896782   0.7078816
 -0.58501023 -0.9154525  -0.64894295 -0.39435342]"
388,"[ 1.1954484   1.8141592  -0.879629   -0.712879    0.79755974  0.55980563
 -0.40430552 -0.86789906 -0.71114206 -0.7911182 ]"
389,"[ 1.0445023   1.9214622  -0.8744522  -0.7370996   0.7135365   0.66273236
 -0.45632383 -0.8641807  -0.78034496 -0.62983274]"
390,"[ 0.8831121   1.9759952  -0.8009677  -0.69716567  0.79689735  0.7027815
 -0.6776473  -0.8137619  -0.69435716 -0.674887  ]"
391,"[ 0.96422666  1.9320769  -0.8316953  -0.71851337  0.7391162   0.7453644
 -0.6665535  -0.8292264  -0.7161707  -0.61862427]"
392,"[ 1.017242    1.9105154  -0.82975423 -0.7678885   0.79059947  0.6504962
 -0.51547885 -0.8721502  -0.743269   -0.64031214]"
393,"[ 0.35355014  1.9911593  -0.9085818  -0.6984417   0.73223     1.1500791
 -0.6782525  -0.76325625 -0.6127024  -0.56578386]"
394,"[ 1.2828984   1.6955568  -0.8986152  -0.6567407   0.77171546  0.6669332
 -0.39006278 -0.89496803 -0.74385357 -0.8328635 ]"
395,"[-0.9716828  -0.9795674   1.4324223   1.1582419  -0.9821557  -0.97162855
 -0.10345121  1.3341527   0.0361344   0.04753386]"
396,"[-0.99481773 -0.90444636  1.4331561   1.1239128  -1.0053841  -0.9964701
 -0.09574997  1.3635825   0.0351035   0.04111308]"
397,"[-0.7896089  -1.29262     1.4901611   1.4940804  -0.67947364 -0.5952581
 -0.24318376  1.1105788  -0.1426903  -0.35198578]"
398,"[-0.9092802  -1.2209529   1.4862006   1.3189447  -0.8585054  -0.774095
 -0.17287406  1.1691414  -0.03155172 -0.00702745]"
399,"[ 1.1642097   1.7829839  -0.87694174 -0.7433789   0.7607848   0.70867896
 -0.43269002 -0.88109356 -0.75534797 -0.72720605]"
400,"[ 1.1622239   1.7994616  -0.89868945 -0.7165134   0.7140901   0.72135293
 -0.41362038 -0.89386743 -0.7746477  -0.69978935]"
401,"[-0.99322236 -0.96259534  1.451074    1.244195   -0.9481342  -0.8915133
 -0.13274111  1.3107044  -0.0172221  -0.06054483]"
402,"[ 0.933073    1.9727683  -0.8288356  -0.7074371   0.7800677   0.66277206
 -0.59323126 -0.8165149  -0.7021434  -0.7005186 ]"
403,"[ 1.0479493   1.9625543  -0.86924165 -0.61458087  0.76504874  0.53459334
 -0.52212316 -0.80968237 -0.7270699  -0.76744664]"
404,"[ 1.2978542   1.6897024  -0.94149727 -0.72867346  0.78880674  0.63767207
 -0.39922595 -0.8906979  -0.67921615 -0.7747244 ]"
405,"[ 0.9376967   1.9578303  -0.84181607 -0.70185375  0.8098881   0.6552305
 -0.6680452  -0.8138722  -0.69265616 -0.64240277]"
406,"[ 1.1743754   1.5968347  -0.8817085  -0.88227487  0.8686277   0.8002625
 -0.2562179  -1.0374653  -0.7976728  -0.58476067]"
407,"[ 1.1039181   1.7114093  -0.9257986  -0.79610854  0.9392071   0.71257615
 -0.7473208  -0.8744034  -0.65528834 -0.4681913 ]"
408,"[ 1.0543046   1.8916426  -0.83141476 -0.7400451   0.7858921   0.6481097
 -0.50632554 -0.84795916 -0.7072741  -0.7469298 ]"
409,"[ 1.0825257   1.2841475  -1.0042568  -0.9560028   1.0410997   1.0488291
 -0.6424243  -1.0236752  -0.7807907  -0.04945201]"
410,"[ 1.0792643   1.9519225  -0.95985436 -0.58456004  0.65899885  0.5147418
 -0.21434739 -0.9183732  -0.82085854 -0.70693326]"
411,"[ 1.1459061   1.9140475  -0.94077224 -0.6909816   0.73618364  0.49093193
 -0.40151095 -0.8693952  -0.72742486 -0.6569836 ]"
412,"[ 1.2884083   1.7143588  -0.93153626 -0.69750226  0.70816797  0.6701336
 -0.31581247 -0.91337794 -0.72528833 -0.7975516 ]"
413,"[ 1.0883881   1.8255328  -0.8382511  -0.7219818   0.8593729   0.65113544
 -0.54513395 -0.83896786 -0.7354709  -0.7446233 ]"
414,"[ 1.0235318   1.9411898  -0.89237654 -0.7298114   0.73583305  0.64234805
 -0.60999787 -0.839651   -0.7256107  -0.5454549 ]"
415,"[-0.6792211  -1.4358044   1.6170716   1.2200177  -0.7486371  -0.8032516
 -0.18232623  1.0624012   0.02431531 -0.0745656 ]"
416,"[-0.7980762  -1.4332551   1.3644028   1.5412885  -0.7022796  -0.6044578
 -0.21853068  1.0683632  -0.09599835 -0.1214569 ]"
417,"[ 0.9651408   1.9345628  -0.8361254  -0.7132017   0.7757359   0.7047074
 -0.65021247 -0.814638   -0.6984998  -0.66746897]"
418,"[ 1.2081759   1.8673344  -0.9068007  -0.6519261   0.71760327  0.5319376
 -0.43185273 -0.8363734  -0.7488193  -0.7492789 ]"
419,"[ 1.0770417   1.8894433  -0.86437744 -0.73565274  0.7688803   0.638499
 -0.4971174  -0.8308622  -0.7162498  -0.72960395]"
420,"[ 0.8950528   1.9814943  -0.8190836  -0.68783396  0.77264935  0.7037971
 -0.6704182  -0.8023073  -0.68301487 -0.69033563]"
421,"[ 1.1978337   1.817855   -0.91031384 -0.7448704   0.6951971   0.6449313
 -0.37063274 -0.9174571  -0.72997415 -0.68256867]"
422,"[-0.6874036  -1.5453011   0.92633164  1.9844974  -0.16926001  0.37505308
 -0.44090208  0.5658277  -0.23015058 -0.77869236]"
423,"[-1.00418901e+00 -9.27666724e-01  1.46030867e+00  1.16577303e+00
 -9.82290030e-01 -9.41327155e-01 -1.16239935e-01  1.33222687e+00
  1.34104965e-02 -6.37762741e-06]"
424,"[-0.8616277  -1.2045254   1.1717012   1.7510059  -0.7159799  -0.6771625
 -0.20108859  1.1224104  -0.08657576 -0.29815766]"
425,"[ 1.1699069   1.9068483  -0.9021012  -0.70662946  0.75496435  0.4666246
 -0.43126267 -0.81990343 -0.6906644  -0.74778324]"
426,"[ 1.0592748   1.9228336  -0.890599   -0.74919856  0.7896093   0.5686929
 -0.51638407 -0.8440718  -0.7029974  -0.6371597 ]"
427,"[ 1.0080085   1.9069108  -0.8120212  -0.6872952   0.81962097  0.65144974
 -0.5750771  -0.8422279  -0.7273034  -0.7420652 ]"
428,"[ 1.2881333   1.7471942  -0.941229   -0.7218599   0.7418496   0.5757899
 -0.3364156  -0.92941684 -0.7761063  -0.64793867]"
429,"[ 0.9406978   1.8767924  -0.8020882  -0.72694445  0.8040878   0.80537134
 -0.6027592  -0.8309897  -0.73001724 -0.73415023]"
430,"[ 1.3050548   1.7275643  -0.9817691  -0.7932691   0.7379459   0.56363285
 -0.29455957 -0.9414045  -0.7269014  -0.59629476]"
431,"[ 1.1595986   1.9500506  -0.956419   -0.6474179   0.73926723  0.42551616
 -0.62953055 -0.7416438  -0.6327593  -0.6666618 ]"
432,"[ 1.1046495   1.847432   -0.89212716 -0.7570327   0.7922133   0.6495697
 -0.50444496 -0.85801905 -0.7247059  -0.6575354 ]"
433,"[ 1.2624823   1.4581932  -0.9111391  -0.82031864  1.0828869   0.74657243
 -0.5847949  -0.8848119  -0.59763914 -0.7514319 ]"
434,"[ 1.255647    1.6986293  -0.8965333  -0.76721805  0.7810361   0.6998763
 -0.40638378 -0.8920094  -0.7340936  -0.7389506 ]"
435,"[ 0.93067604  1.896048   -0.8368136  -0.6842094   0.8837285   0.7008825
 -0.6804354  -0.8061187  -0.6934421  -0.71031654]"
436,"[ 1.227588    1.7865268  -0.8992679  -0.73478365  0.7980759   0.555339
 -0.37862843 -0.8710899  -0.69441086 -0.7893474 ]"
437,"[ 1.2568785   1.7775682  -0.90001416 -0.6647015   0.7768807   0.5698459
 -0.4478912  -0.8643124  -0.7261043  -0.7781495 ]"
438,"[ 1.3153473   1.7337291  -0.948605   -0.76955223  0.70549536  0.6169707
 -0.42256418 -0.92086977 -0.72227806 -0.5876728 ]"
439,"[ 0.93458027  1.8808153  -0.85431    -0.7338618   0.83826685  0.76590794
 -0.64694124 -0.83625877 -0.72260344 -0.6255962 ]"
440,"[ 1.422989    1.6640548  -1.0095037  -0.7667546   0.73983896  0.44490117
 -0.19414942 -0.94950736 -0.69439757 -0.6574709 ]"
441,"[-0.99961513 -0.85809475  1.4437543   1.0734609  -1.02466    -1.0325673
 -0.08206836  1.3782859   0.05363033  0.04787403]"
442,"[-0.99853915 -0.8997854   1.4314201   1.1064633  -1.0139016  -1.0114315
 -0.08869539  1.361914    0.04995301  0.06260224]"
443,"[-0.91511333 -1.1078587   1.4071357   1.4223018  -0.8309638  -0.756135
 -0.1828935   1.2598345  -0.09585992 -0.20044798]"
444,"[ 1.1598368   1.832702   -0.86099    -0.6811568   0.746866    0.64366394
 -0.44540977 -0.8652524  -0.74653965 -0.78372085]"
445,"[ 0.96928585  1.9175802  -0.8287489  -0.7540006   0.7327609   0.7591112
 -0.53635937 -0.8630737  -0.75777334 -0.6387828 ]"
446,"[-1.0133934  -0.9455207   1.4575735   1.211923   -0.9661332  -0.90682805
 -0.12131444  1.3095067  -0.0045949  -0.0212183 ]"
447,"[ 1.0653819   1.7950385  -0.85979575 -0.7264954   0.7821316   0.78864145
 -0.44940445 -0.9235241  -0.77988505 -0.69208896]"
448,"[ 1.282716    1.7288074  -0.98212373 -0.9072356   0.7213176   0.6008398
 -0.37570277 -0.9512841  -0.6739947  -0.44333962]"
449,"[ 1.252078    1.8027838  -0.8698014  -0.6700154   0.72485906  0.5957942
 -0.46849513 -0.8607537  -0.7274906  -0.7789593 ]"
450,"[ 1.0749563   1.8412279  -0.8706181  -0.77698225  0.78265744  0.7106425
 -0.5285526  -0.872472   -0.7458547  -0.61500496]"
451,"[ 1.0136844   1.8817817  -0.8246401  -0.73532414  0.7869394   0.7224801
 -0.541547   -0.83838755 -0.7394851  -0.72550195]"
452,"[ 1.0566112   1.8861266  -0.8481983  -0.7082889   0.8128019   0.62382525
 -0.5010313  -0.84301156 -0.7380133  -0.74082166]"
453,"[ 1.4247544   1.2970903  -0.9679021  -0.88329643  1.0025412   0.8085213
 -0.48909783 -0.9382737  -0.6797642  -0.57457334]"
454,"[ 1.1886529   1.795628   -0.87897706 -0.7197971   0.827421    0.58677447
 -0.47563684 -0.85903704 -0.6784008  -0.7866279 ]"
455,"[ 1.0107669   1.9389385  -0.9355025  -0.7199179   0.80676824  0.574142
 -0.6894233  -0.82394415 -0.6697869  -0.4920405 ]"
456,"[ 1.0969871   1.828501   -0.89678574 -0.72144055  0.7909058   0.6851645
 -0.45630658 -0.8710183  -0.78568643 -0.67032   ]"
457,"[ 1.2574542   1.7966713  -0.92140925 -0.71057695  0.76463324  0.51920563
 -0.35481012 -0.8773534  -0.7154243  -0.75839055]"
458,"[ 1.076956    1.8832378  -0.8680465  -0.7014956   0.8025142   0.5965236
 -0.4392014  -0.86300486 -0.69829345 -0.7891906 ]"
459,"[ 1.2662396   1.755768   -0.90968    -0.69446415  0.73812044  0.6179387
 -0.3700514  -0.89068764 -0.7225142  -0.7906698 ]"
460,"[ 1.1223079   1.7165948  -0.9481836  -0.8914573   0.7935316   0.7767231
 -0.51489466 -0.9640712  -0.7424908  -0.3480597 ]"
461,"[ 1.3454027   1.4719901  -0.9729673  -0.8117395   0.9299796   0.76535183
 -0.47630295 -0.9272989  -0.70182174 -0.6225939 ]"
462,"[-1.0120933  -0.8283393   1.4116943   1.0560043  -1.0438191  -1.059243
 -0.06992056  1.3978877   0.06966064  0.07816824]"
463,"[-0.9852956  -0.88461214  1.4356517   1.0829669  -1.0150247  -1.0276275
 -0.0839688   1.3838083   0.05177509  0.04232667]"
464,"[ 1.1952338   1.7565823  -0.8876712  -0.7157622   0.7610861   0.69731104
 -0.38491353 -0.91299576 -0.7547518  -0.7541179 ]"
465,"[ 0.9974885   1.8445644  -0.9618783  -0.8537499   0.8016869   0.689636
 -0.6750409  -0.92526245 -0.6795819  -0.23786235]"
466,"[ 0.9632445   1.9202361  -0.85270953 -0.74509835  0.7318226   0.76303273
 -0.5867721  -0.85501    -0.7509849  -0.5877611 ]"
467,"[ 1.1080312   1.7937566  -0.8623822  -0.72480994  0.8205252   0.7025097
 -0.44062465 -0.8786104  -0.75823057 -0.76016486]"
468,"[ 0.87751585  1.9625816  -0.8438201  -0.74586767  0.81361085  0.69990176
 -0.676317   -0.8404509  -0.71469104 -0.5324634 ]"
469,"[ 0.85773814  1.9714606  -0.8943025  -0.76760525  0.7909662   0.68108463
 -0.7316227  -0.8546026  -0.7252868  -0.32782957]"
470,"[ 0.9742672   1.8500552  -0.8916117  -0.76113665  0.82989794  0.7581422
 -0.73565763 -0.86354005 -0.702911   -0.4575056 ]"
471,"[ 1.0468854   1.8180082  -0.93293154 -0.8505623   0.80059403  0.71531904
 -0.51372814 -0.93219274 -0.7440363  -0.40735468]"
472,"[ 1.0478542   1.9335365  -0.903625   -0.7375462   0.7896355   0.5650284
 -0.5353914  -0.83015144 -0.6843777  -0.64496225]"
473,"[ 0.9677563   1.9940331  -0.9129964  -0.52057076  0.75205517  0.5304511
 -0.35887715 -0.8627691  -0.7956427  -0.79344046]"
474,"[ 1.0660828   1.8244226  -0.8935774  -0.7856617   0.75163776  0.7725155
 -0.51371384 -0.8901002  -0.75152737 -0.58007926]"
475,"[ 1.2329749   1.7182851  -0.9293057  -0.703379    0.8591628   0.59529644
 -0.37096182 -0.87610704 -0.704184   -0.8217832 ]"
476,"[ 1.1540672   1.8024808  -0.8778653  -0.6912482   0.84237     0.5903303
 -0.41637728 -0.8826872  -0.7198505  -0.80121905]"
477,"[ 0.8913181   1.9973887  -0.7732835  -0.6982505   0.7878399   0.6634696
 -0.68008953 -0.8139534  -0.6884063  -0.6860327 ]"
478,"[-0.9452289  -1.087348    1.3759391   1.4036907  -0.8659983  -0.7868252
 -0.1709225   1.2801144  -0.06287624 -0.140545  ]"
479,"[ 1.204651    1.7632315  -0.9226889  -0.8060407   0.724737    0.70530766
 -0.45813012 -0.92515105 -0.7513426  -0.5345736 ]"
480,"[ 1.1349137   1.8026288  -0.9155489  -0.8060657   0.80110574  0.66368407
 -0.4820322  -0.9012213  -0.7035963  -0.5938678 ]"
481,"[ 1.4248762   1.634632   -0.99498206 -0.74423844  0.75711757  0.5017272
 -0.22892416 -0.9275044  -0.6657684  -0.7569351 ]"
482,"[-1.0069137  -0.93667823  1.447548    1.1697437  -0.98994935 -0.94833875
 -0.10770237  1.3239903   0.02474384  0.02355658]"
483,"[ 1.1150037   1.7840842  -0.86487126 -0.76833004  0.7861278   0.7507867
 -0.4991405  -0.9067402  -0.75671357 -0.6402066 ]"
484,"[ 1.2241153   1.8045495  -0.9138305  -0.7518172   0.6602752   0.6583776
 -0.3367596  -0.9143741  -0.75200826 -0.67852825]"
485,"[ 0.82650846  1.9748882  -0.80505574 -0.6915147   0.81110704  0.7523065
 -0.6791536  -0.8023331  -0.6946241  -0.6921289 ]"
486,"[-1.0096307  -0.8862284   1.4331871   1.1357641  -1.0104824  -0.9939673
 -0.09486236  1.3529692   0.03486238  0.03838805]"
487,"[ 1.0641971   1.8541617  -0.9326678  -0.80283576  0.8102796   0.651523
 -0.5041185  -0.8886593  -0.6836698  -0.5682107 ]"
488,"[ 1.1788733   1.8111886  -0.8626971  -0.67494345  0.7939702   0.6040382
 -0.44285077 -0.8671298  -0.75830495 -0.7821446 ]"
489,"[ 1.1173851   1.8574826  -0.88038486 -0.72899216  0.8159847   0.580189
 -0.4546017  -0.84861106 -0.6983436  -0.7601079 ]"
490,"[ 1.067767    1.8875661  -0.9115215  -0.8234806   0.769027    0.6130957
 -0.47269267 -0.9103959  -0.72149205 -0.497873  ]"
491,"[ 1.1128553   1.891162   -0.8723276  -0.75029075  0.707312    0.64011854
 -0.45226923 -0.86218846 -0.74582607 -0.6685451 ]"
492,"[ 1.3663236   1.6447576  -0.9205116  -0.6508635   0.74848187  0.60948986
 -0.27260733 -0.9269313  -0.7132675  -0.8848716 ]"
493,"[ 0.9882817   1.7052082  -0.9159032  -0.7993319   0.9836911   0.8060405
 -0.76401097 -0.875252   -0.69400865 -0.4347156 ]"
494,"[ 1.3081566   1.685065   -0.9132904  -0.7601791   0.7569239   0.6443328
 -0.32060474 -0.92346424 -0.6999862  -0.77695405]"
495,"[ 1.0208056   1.9095584  -0.86909604 -0.7388143   0.8218223   0.61360115
 -0.51103705 -0.8403454  -0.73499066 -0.67150486]"
496,"[ 1.2390019   1.7881031  -0.8908077  -0.6661834   0.78158605  0.5503536
 -0.37278402 -0.880153   -0.73622745 -0.8128886 ]"
497,"[ 1.3011069   1.6742811  -0.9137375  -0.681275    0.84019524  0.57383776
 -0.30794424 -0.9119474  -0.7448036  -0.8297126 ]"
498,"[ 1.1599529   1.844084   -0.9556514  -0.78367245  0.814338    0.528385
 -0.44510278 -0.8552604  -0.6659432  -0.6411301 ]"
499,"[ 1.1564608   1.8950266  -0.932086   -0.7475713   0.6869763   0.57604635
 -0.4228695  -0.8700541  -0.714895   -0.6270344 ]"
500,"[ 1.0053095   1.8984165  -0.8492333  -0.74633896  0.8230862   0.6525179
 -0.49688134 -0.8537292  -0.7410508  -0.6920956 ]"
501,"[ 1.2219887   1.423277   -0.9663188  -0.710638    1.0589186   0.8539005
 -0.4585659  -0.90877813 -0.6866726  -0.8271117 ]"
502,"[ 1.1938027   1.8286879  -0.90526235 -0.67779934  0.79156864  0.5417526
 -0.41899762 -0.8558548  -0.7185227  -0.77937496]"
503,"[ 1.2819782   1.7781336  -0.98893714 -0.6220731   0.7609492   0.46453506
 -0.25343916 -0.909041   -0.7321253  -0.7799805 ]"
504,"[ 0.9065274   1.9985087  -0.9045332  -0.7146733   0.80990624  0.5909005
 -0.6917053  -0.8150312  -0.66513824 -0.5147625 ]"
505,"[ 0.98154455  1.9271294  -0.8428173  -0.7108281   0.7717762   0.6991
 -0.60177135 -0.82522625 -0.7234101  -0.6754972 ]"
506,"[ 1.0130241   1.9737056  -0.88964975 -0.69375026  0.7956071   0.53076136
 -0.5565121  -0.79126203 -0.68240553 -0.6995178 ]"
507,"[ 1.1364393   1.8182648  -0.87171394 -0.72902566  0.7676761   0.6923682
 -0.51500165 -0.8673346  -0.71865326 -0.71301883]"
508,"[ 1.0309154   1.9010743  -0.8825944  -0.7724386   0.7708235   0.66646194
 -0.49411514 -0.8585951  -0.7024051  -0.6591262 ]"
509,"[-0.7238311  -1.4038553   1.3722814   1.5810254  -0.6469184  -0.603451
 -0.23607224  1.0858083  -0.12650707 -0.29847997]"
510,"[ 1.2804295   1.7654185  -0.92740685 -0.6200528   0.8009627   0.5016971
 -0.3774219  -0.8613473  -0.75580966 -0.8064689 ]"
511,"[-0.98310953 -1.0848154   1.4572719   1.3324376  -0.8950755  -0.78993607
 -0.16286677  1.2251096  -0.04056865 -0.05844747]"
512,"[ 1.1662037   1.8375711  -0.9590438  -0.7908749   0.7554587   0.5821807
 -0.4268907  -0.92482966 -0.6540573  -0.5857175 ]"
513,"[ 1.1734565   1.7927314  -0.9414689  -0.74974674  0.7330875   0.68102735
 -0.40389    -0.9411208  -0.7324915  -0.61158395]"
514,"[-0.76548064 -1.3538909   1.1944524   1.6815964  -0.65746826 -0.5833196
 -0.23903628  1.1742004  -0.13497269 -0.31608072]"
515,"[ 1.2157098   1.852029   -1.0365558  -0.73049223  0.68057376  0.49650973
 -0.27628434 -0.953737   -0.69415385 -0.55359894]"
516,"[-0.9731414  -0.95517033  1.3896616   1.171339   -0.99222463 -0.9885787
 -0.10019609  1.3645706   0.03658598  0.04715388]"
517,"[ 1.1399251   1.867935   -0.91589546 -0.7463442   0.74778736  0.5856942
 -0.41447383 -0.89978534 -0.66707176 -0.6977716 ]"
518,"[ 1.1160066   1.9060669  -0.949898   -0.76503557  0.7165299   0.5934375
 -0.55471516 -0.8556182  -0.61614424 -0.59062976]"
519,"[ 0.98558027  1.9153851  -0.8613103  -0.72723585  0.85182613  0.6125121
 -0.53510773 -0.8805321  -0.66598344 -0.69513535]"
520,"[ 0.9965825   1.7250203  -0.9219214  -0.8306459   0.95171833  0.80753213
 -0.6753225  -0.90375966 -0.5655427  -0.58366054]"
521,"[ 1.0893538   1.8657539  -0.9287045  -0.75951195  0.75437987  0.6484975
 -0.43508306 -0.91987103 -0.69896287 -0.615852  ]"
522,"[ 1.1804974   1.8167945  -0.92086935 -0.70411384  0.7945643   0.5692677
 -0.42078692 -0.90506446 -0.61613226 -0.7941578 ]"
523,"[ 1.043       1.8716445  -0.9519183  -0.8211619   0.68981147  0.7475484
 -0.51408094 -0.913765   -0.70249784 -0.4485805 ]"
524,"[ 1.1708302   1.799276   -0.97700864 -0.80203617  0.7453943   0.6516868
 -0.43503273 -0.9312318  -0.6841115  -0.5377658 ]"
525,"[ 1.0667198   1.8758684  -0.86791074 -0.717125    0.77636087  0.66828626
 -0.5147037  -0.86754715 -0.69178635 -0.7281618 ]"
526,"[-0.9915883  -0.9520747   1.3741112   1.2092502  -0.98669153 -0.95839024
 -0.1101411   1.3616339   0.01868347  0.03520723]"
527,"[-0.9199218  -1.0899624   1.4406863   1.3466737  -0.87376344 -0.8074516
 -0.17372338  1.269227   -0.0669532  -0.12481123]"
528,"[ 0.93785214  1.9898822  -0.85954875 -0.7023684   0.7489899   0.64610213
 -0.54231864 -0.83597946 -0.71819407 -0.6644167 ]"
529,"[ 1.1058189   1.8800076  -0.90668243 -0.7395512   0.7206229   0.64169675
 -0.4226948  -0.90636736 -0.67864037 -0.69421095]"
530,"[ 1.2001511   1.1281629  -1.0566247  -0.5819791   1.0403001   1.1459061
 -0.22449099 -1.0145125  -0.9107375  -0.7261755 ]"
531,"[ 1.2330978   1.8445431  -0.96574235 -0.6797388   0.7392101   0.47791407
 -0.35592726 -0.88081723 -0.6452925  -0.76724654]"
532,"[ 1.1573579   1.8107641  -0.92681086 -0.66820836  0.7881746   0.5995876
 -0.35552296 -0.90644294 -0.639753   -0.8591462 ]"
533,"[-1.0074056  -1.1514958   1.4086821   1.3234274  -0.9122597  -0.7886439
 -0.21920528  1.1413332  -0.11783657  0.3234043 ]"
534,"[-0.982728   -0.9159742   1.3989093   1.1532692  -1.0001105  -0.9989199
 -0.09827369  1.3778026   0.02974222  0.03628327]"
535,"[ 1.0090071   1.9144553  -0.8952099  -0.71414614  0.75316066  0.66788495
 -0.42208177 -0.913481   -0.69736063 -0.7022295 ]"
536,"[-0.97364324 -1.0276291   1.4094187   1.2801231  -0.94283545 -0.8881671
 -0.13688505  1.2938889  -0.01228529 -0.00198574]"
537,"[ 1.2349075   1.8690673  -0.94335556 -0.65079135  0.68906057  0.48033324
 -0.34053752 -0.8727613  -0.6605971  -0.80532616]"
538,"[ 1.1852484   1.8250263  -0.93654835 -0.6995769   0.74122345  0.5863809
 -0.33826667 -0.9200866  -0.69013035 -0.7532702 ]"
539,"[ 1.0769663   1.8892436  -0.8933115  -0.7303682   0.7680676   0.61994374
 -0.44006392 -0.8849901  -0.6848459  -0.7206408 ]"
540,"[ 1.1889144   1.8538427  -0.9283503  -0.69889045  0.72396106  0.5598617
 -0.38421765 -0.89367765 -0.65891284 -0.7625309 ]"
541,"[ 1.3478432   1.2388989  -0.96614325 -0.7286528   1.0984105   0.88956314
 -0.5021678  -0.9275109  -0.61975473 -0.83048564]"
542,"[ 1.3503764   1.474199   -1.0446725  -0.8428525   0.7999148   0.83209735
 -0.35656536 -1.0061009  -0.6360295  -0.57036704]"
543,"[ 1.1425148   1.881694   -0.99936515 -0.6866204   0.6708142   0.59040123
 -0.31758502 -0.934719   -0.7135507  -0.63358504]"
544,"[ 1.0151943   1.88565    -0.9670688  -0.83117396  0.7519073   0.68702763
 -0.65297973 -0.9014008  -0.60338926 -0.3837662 ]"
545,"[ 0.9683844   1.916255   -0.8814206  -0.7494094   0.7644596   0.70532197
 -0.4770034  -0.92174757 -0.74917454 -0.57566595]"
546,"[ 1.0858009   1.8554035  -0.9655937  -0.8635566   0.7402774   0.6495579
 -0.43940243 -0.9532981  -0.63667405 -0.47251552]"
547,"[-0.9056621  -1.0505509   1.4142727   1.1887374  -0.9447716  -0.97133404
 -0.11744184  1.3461175   0.02811204  0.01252074]"
548,"[ 1.1177201   1.9079543  -0.94575095 -0.8109403   0.7457932   0.5277483
 -0.44932297 -0.895658   -0.6338924  -0.56365085]"
549,"[ 1.0962768   1.9522605  -0.93171674 -0.764156    0.6926829   0.5554391
 -0.5534672  -0.84948534 -0.6228655  -0.5749696 ]"
550,"[-0.80864906 -1.3077433   1.3446177   1.532321   -0.7429532  -0.67268026
 -0.22081324  1.1746037  -0.11509885 -0.18360473]"
551,"[ 1.182793    1.805158   -0.9598403  -0.78305525  0.7543394   0.60233873
 -0.35222435 -0.95597625 -0.67443174 -0.61910105]"
552,"[ 1.1442794   1.841833   -0.9410831  -0.6554389   0.7315296   0.6187514
 -0.3396495  -0.93989354 -0.73221666 -0.7281115 ]"
553,"[-0.85237813 -1.2337022   1.3666335   1.591592   -0.7137068  -0.60544276
 -0.2324089   1.1418821  -0.16126241 -0.3012062 ]"
554,"[-0.9776913  -0.9545381   1.384891    1.2213455  -0.97596025 -0.9590572
 -0.1157304   1.3555295   0.0103295   0.01088161]"
555,"[-0.6237878  -1.652509    1.4279402   1.6687365  -0.17787962 -0.19631608
 -0.39265805  0.6614436  -0.0939059  -0.6210637 ]"
556,"[ 1.1733872   1.8565038  -0.9330676  -0.67274207  0.74648404  0.50511044
 -0.27239695 -0.9186115  -0.64031297 -0.84435517]"
557,"[ 1.1034793   1.8586417  -0.9197602  -0.7383724   0.74874026  0.657837
 -0.4446742  -0.90549636 -0.69192725 -0.6684671 ]"
