,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
0,-0.84750247,1.7331022,-0.9917973,0.060960617,0.86997175,-0.39898285,-0.89625347,-0.7385562,1.4092133,-0.20015638,0.8837281,2.2926395,-0.7402913,0.5965143,-0.672505,-0.20133528,-0.44524089,-0.080419436,-0.9348097,-0.69827926,MB
1,-0.8470453,1.7336688,-0.9951982,0.05391426,0.87360317,-0.39667475,-0.89459085,-0.73545235,1.4077854,-0.20001021,0.88552964,2.2911434,-0.7370539,0.5955963,-0.66391677,-0.19216704,-0.45297083,-0.08184216,-0.93840975,-0.7059101,MB
2,-0.8469452,1.7333711,-0.9912839,0.0638142,0.8709559,-0.39957014,-0.897551,-0.73967534,1.4072361,-0.20035215,0.87642294,2.290962,-0.7278722,0.6120615,-0.6833558,-0.21899158,-0.44320074,-0.070565455,-0.9301013,-0.7053596,MB
3,-0.8489449,1.732458,-0.9954028,0.059192404,0.8735614,-0.39552855,-0.8981049,-0.7358809,1.4060322,-0.19738075,0.8529926,2.2824347,-0.7194673,0.6535177,-0.7326376,-0.25832215,-0.42184883,-0.0404532,-0.9285611,-0.68765545,MB
4,-0.8443982,1.7328768,-0.9924713,0.05648651,0.8710898,-0.39827797,-0.8983231,-0.7345656,1.4108906,-0.20330721,0.8012197,2.2780747,-0.6968123,0.70405364,-0.80392313,-0.322811,-0.38268238,0.0093151275,-0.91924506,-0.6671883,MB
5,-0.84692293,1.7343069,-0.99217725,0.053336453,0.8724476,-0.39646384,-0.89641106,-0.7372478,1.4080597,-0.19892703,0.8216673,2.2773063,-0.6959399,0.690029,-0.7889455,-0.30684435,-0.38903725,-0.007392754,-0.920684,-0.68015814,MB
6,-0.84882104,1.7323651,-0.99434227,0.06110019,0.8716433,-0.3967814,-0.8974134,-0.7371435,1.4074166,-0.1980243,0.88754714,2.2902634,-0.73048383,0.59729755,-0.6673,-0.1973497,-0.4516105,-0.082407266,-0.9392046,-0.7067521,MB
7,-0.8465153,1.7349784,-0.9902407,0.050556738,0.87369746,-0.40024805,-0.8951107,-0.73719245,1.4080837,-0.19800904,0.8844963,2.2950168,-0.7391959,0.5887715,-0.65679294,-0.1903541,-0.4546342,-0.08430388,-0.9363047,-0.7066992,MB
8,-0.8483165,1.7336969,-0.99309736,0.055220235,0.87269276,-0.3966013,-0.8964484,-0.7359153,1.4077289,-0.19896078,0.88049716,2.287594,-0.7284197,0.61503094,-0.6893349,-0.21957976,-0.44457272,-0.07001376,-0.9305454,-0.7006568,MB
9,-0.84049946,1.7293828,-0.99801946,0.062430933,0.86925656,-0.3936903,-0.8993059,-0.73772204,1.4132304,-0.20506336,0.8752354,2.2900133,-0.7292734,0.61068374,-0.679824,-0.2065855,-0.44792846,-0.06988562,-0.9349499,-0.7074847,MB
10,-0.8494921,1.7350295,-0.99200743,0.04946663,0.8743145,-0.39877924,-0.8947918,-0.7341043,1.4070574,-0.1966923,0.86859727,2.2917557,-0.7332335,0.6142142,-0.68895125,-0.22104375,-0.4389482,-0.06227031,-0.9371073,-0.6930123,MB
11,-0.84824264,1.7327808,-0.9920251,0.06373407,0.86960775,-0.40089777,-0.8967103,-0.73715985,1.4090103,-0.20009682,0.8789876,2.2876647,-0.72871256,0.6142976,-0.6895367,-0.21511799,-0.43772432,-0.07283538,-0.93474585,-0.70227695,MB
12,-0.84734976,1.732236,-0.99524087,0.06513481,0.8709515,-0.39857316,-0.89708686,-0.7373194,1.4073851,-0.20013759,0.892993,2.294862,-0.7337138,0.5814553,-0.6525251,-0.18215148,-0.460601,-0.09491162,-0.936575,-0.7088317,MB
13,-0.8461081,1.7296125,-0.99687725,0.06954922,0.87015074,-0.39462918,-0.90211296,-0.7361201,1.4087185,-0.20218304,0.8910439,2.294466,-0.73845875,0.5815569,-0.6532201,-0.18482168,-0.4566641,-0.08773313,-0.9368894,-0.7092812,MB
