,embeddings
291,"[-2.6474094e-01  1.9209774e-01 -8.7404078e-01 -2.1029320e-02
  2.3938231e+00 -2.3862569e-01  1.9780358e-03 -8.5461545e-01
  7.1429616e-01 -1.0491430e+00  1.2941809e+00  1.5707690e+00
 -9.7848624e-01 -8.1681877e-01  8.8596666e-01  7.2983313e-01
 -4.6896577e-01 -9.3264478e-01 -6.7098242e-01 -6.1285079e-01]"
292,"[-0.18371095 -0.23558241  1.0021561  -0.9578527  -1.2460029  -0.22177319
  0.17297852  1.1116898  -1.1290944   1.6871917   0.85400724  1.9232565
 -0.82471097 -0.73286414  0.8546744   0.7620027  -0.6709397  -0.8457228
 -0.71978974 -0.59991425]"
293,"[-0.53552276 -0.09633336  0.7243272  -0.0937596  -1.3498803   0.06664748
 -1.139412    1.2675313   1.755135   -0.59873253  1.1300373   1.8554448
 -0.89397395 -0.6653185   0.7493416   0.6182629  -0.37827602 -0.87081957
 -0.78405535 -0.7606433 ]"
294,"[ 0.34519994  0.03270766 -1.0355437  -1.0554368  -1.1141976   0.5652956
 -0.18996519  0.22700882  2.245977   -0.02104507 -0.93562865 -1.1229143
  1.5044888   1.3801466  -0.83456147 -0.73177004 -0.1896582   1.1796145
 -0.0761181  -0.17359936]"
295,"[-0.13491373 -0.2266048   0.8954304  -1.0586505  -1.2354444  -0.19233878
  0.24006866  1.1118096  -1.1086596   1.7093028   1.1759526   1.3674704
 -0.76494163 -0.7846945   1.0377934   1.0017576  -0.42383733 -0.967818
 -0.85146016 -0.7902227 ]"
296,"[-0.13491802 -0.23773205  0.95872676 -0.97946817 -1.314453    0.08386074
  0.16288324  0.9979268  -1.2144926   1.6776667   1.1673762   1.7958946
 -0.8956493  -0.7915713   0.80689263  0.63749033 -0.48952186 -0.877717
 -0.6674858  -0.6857087 ]"
297,"[-0.23509672 -0.21265434  1.0873138  -0.9544683  -1.1022893  -0.71611667
  0.18685135  1.375274   -0.93689644  1.5080835  -0.9967517  -0.89406085
  1.4410443   1.0912058  -1.0184565  -1.022013   -0.08411932  1.357565
  0.05597369  0.06961216]"
298,"[-0.3019681  -0.20999977  1.1737801  -0.9037755  -1.1255536  -0.6394519
  0.10841187  1.473022   -0.95391303  1.3794488  -0.7432443  -1.2775714
  1.2689493   1.6051091  -0.67423254 -0.6792554  -0.20654054  1.2165327
 -0.08125959 -0.4284868 ]"
299,"[-0.41564146 -0.25882298  1.0520076  -0.8898832  -1.0401254  -0.9464922
  0.13073865  1.5151122  -0.6240129   1.4771202   0.9723591   1.8372253
 -0.87545127 -0.7578203   0.8039958   0.8129273  -0.543392   -0.8841013
 -0.7868339  -0.5789096 ]"
300,"[-0.2704383  -0.21913089  1.1508628  -0.83369064 -1.3006736  -0.08487658
  0.00989081  1.0907464  -1.1616637   1.6189737   1.1874069   1.7531091
 -0.97214293 -0.85642844  0.7378878   0.67538035 -0.34424943 -0.9727266
 -0.75058126 -0.45765468]"
301,"[-0.25524023 -0.22050384  1.2215778  -0.9049724  -1.1524137  -0.7186897
  0.07396839  1.6651534  -0.8316424   1.122762    0.9885026   1.9910843
 -0.85219836 -0.70278364  0.7126328   0.6278266  -0.5793248  -0.80163634
 -0.70147085 -0.6826327 ]"
302,"[-0.2518512  -0.21533743  1.0605263  -0.96539235 -1.1395046  -0.7249326
  0.1558992   1.3641236  -0.8392015   1.5556693  -0.9736867  -1.0560788
  1.235228    1.5303631  -0.86923474 -0.8355272  -0.15581438  1.2535446
  0.01047265 -0.13926665]"
303,"[-0.18983595 -0.22635396  0.9640863  -0.99843156 -1.1499946  -0.52572596
  0.23445055  1.2236167  -1.009796    1.6779838   1.1557857   1.914824
 -0.96201456 -0.60389763  0.67786294  0.49984896 -0.2950473  -0.87951165
 -0.77260715 -0.73524266]"
304,"[-0.2832284   0.1912125  -0.8944543  -0.0469669   2.3403592  -0.25373435
 -0.00663953 -0.8700028   0.8516127  -1.0281581   1.2018983   1.8762239
 -0.8956886  -0.70111483  0.6790106   0.55902755 -0.40091673 -0.8713744
 -0.7436549  -0.7034105 ]"
305,"[ 0.01054805 -0.14884567  0.30270705 -0.5225751  -1.2436537   1.8816208
 -0.10339712 -0.41058668 -1.1711537   1.4053371   1.0309271   1.9094146
 -0.87958765 -0.77286506  0.68614703  0.7222573  -0.4824035  -0.8840716
 -0.78609824 -0.54371935]"
306,"[-0.18093255 -0.22175665  1.1004813  -0.9989079  -1.1570143  -0.5698875
  0.2033357   1.3664414  -1.0021917   1.4604324   1.1443537   1.8201255
 -0.88586897 -0.74725366  0.74430156  0.6910154  -0.46197364 -0.88051564
 -0.71844614 -0.7057383 ]"
307,"[-0.08182846 -0.09778006 -0.45994434 -0.6357082  -0.3499237  -0.85252565
  0.4153288  -0.30694273  2.6755111  -0.30618706  1.1664121   1.7900089
 -0.8883129  -0.6431273   0.7893531   0.6517747  -0.40743873 -0.8692584
 -0.79164964 -0.7977617 ]"
308,"[-0.27101052  0.39320123 -0.991241   -0.3786229   1.1653647  -0.28616506
 -0.21438837 -0.9759947   2.1923192  -0.6334626   1.2354255   1.8288902
 -0.9052198  -0.66081834  0.73403513  0.5673341  -0.51370764 -0.82609755
 -0.7198363  -0.74000543]"
309,"[-0.24844657 -0.22589089  1.286801   -0.855685   -1.2635542  -0.28054562
  0.01402198  1.4072399  -1.1064268   1.2724851   1.1819093   1.7943935
 -0.95050114 -0.8257182   0.7979642   0.6061589  -0.5093398  -0.9029558
 -0.6619947  -0.52991533]"
310,"[-0.17003907 -0.22826737  1.0174606  -1.0049808  -1.1706163  -0.50896895
  0.2234545   1.3042107  -1.0251312   1.5628773   1.1677033   1.8143647
 -0.91394126 -0.74013543  0.82222474  0.5791836  -0.45416105 -0.8596748
 -0.67076147 -0.744802  ]"
311,"[-0.27048776 -0.22021596  1.1146886  -0.74401236 -1.4859905   0.6937536
 -0.15241487  0.8929683  -1.2478291   1.4195403   1.2614018   1.7434838
 -0.9474199  -0.7973477   0.796612    0.55496883 -0.3131504  -0.91553175
 -0.6748968  -0.7081197 ]"
312,"[-0.14377107 -0.07852179 -0.09046577 -1.0326844  -1.2048966  -0.9596056
 -0.18710257  0.7738555   2.0181653   0.90502644  1.0398929   1.9027561
 -0.8377197  -0.74740785  0.7564325   0.6786265  -0.5427084  -0.8567623
 -0.75167    -0.6414393 ]"
313,"[ 0.12549114 -0.01311987 -0.3557541  -0.9133342  -0.3390109  -1.3146417
  1.3205588  -0.3935954   2.0614634  -0.17805716 -0.7278061  -1.3597027
  1.3241113   1.5594379  -0.6720304  -0.64445645 -0.22673179  1.183659
 -0.11401159 -0.32246926]"
314,"[-0.50909555 -0.0817156   1.180535   -0.6832447  -0.9236631  -0.82039344
 -0.53934014  1.8022048   1.1938559  -0.6191428   1.1999339   1.844684
 -0.9026967  -0.70776165  0.7139457   0.59342    -0.44825268 -0.8792764
 -0.76129776 -0.6526979 ]"
315,"[-0.42787912 -0.27790114  1.1382902  -0.88264316 -1.0519521  -0.9748501
  0.06407307  1.7242429  -0.4904883   1.1791074   1.4374954   1.3617513
 -0.97692347 -0.7830389   0.92146343  0.7240475  -0.1919184  -0.9581594
 -0.71353894 -0.82117736]"
316,"[ 0.0573662   0.09790219 -0.65875304 -0.57280934 -0.3556294  -0.5405127
  0.10397936 -0.5573767   2.720003   -0.2941696   1.2379706   1.7571799
 -0.96845454 -0.8446929   0.76661795  0.61417997 -0.46408752 -0.9147581
 -0.66403073 -0.5199238 ]"
317,"[-0.19522786 -0.23545538  1.0782448  -0.96311444 -1.2525281  -0.20939302
  0.14245543  1.2241106  -1.1362631   1.5471716   1.1483436   1.905094
 -0.8499946  -0.6342853   0.7091279   0.5664644  -0.47293952 -0.8428477
 -0.74958056 -0.77938217]"
318,"[-0.3238845   0.26733136 -1.1224306  -0.5271385   2.1722705  -0.2609323
  0.15735102 -1.0658785   1.0901958  -0.38688418 -0.88560253 -1.1248776
  1.5324856   1.2071075  -0.8875696  -0.88352454 -0.14632763  1.245786
 -0.00328049 -0.05419654]"
319,"[-0.17757902 -0.23292787  0.95334136 -0.9757119  -1.2543869  -0.18244717
  0.18574238  1.1159817  -1.1311643   1.6991515   1.057814    1.7642826
 -0.9328446  -0.8599114   0.8692096   0.72995394 -0.57183725 -0.9274038
 -0.71569216 -0.41357067]"
320,"[-0.23654407 -0.20494853  1.0296054  -1.122424   -1.3947908  -0.57961005
 -0.01845861  1.7424892  -0.29912898  1.08381     1.341948    1.6926334
 -0.97634375 -0.78541946  0.7410081   0.60495627 -0.43125862 -0.91660315
 -0.72265923 -0.5482608 ]"
321,"[-0.14691502 -0.23999082  0.94757915 -0.9893839  -1.2647368  -0.10723834
  0.19610414  1.0540328  -1.1620804   1.71263     1.2049565   1.8328266
 -0.8642605  -0.65967625  0.7526048   0.58647245 -0.50771695 -0.8332725
 -0.7309673  -0.7809672 ]"
322,"[-0.18122092 -0.22117451  1.0183616  -0.9894512  -1.144702   -0.65008926
  0.22509919  1.3821498  -0.95456254  1.5155891   1.1143643   1.8860835
 -0.85841244 -0.7435337   0.75707215  0.6082991  -0.520748   -0.8594847
 -0.71254146 -0.6710985 ]"
323,"[-0.33928847  0.3567355  -1.087791   -0.40293905  1.9029927  -0.23518851
 -0.16903204 -1.0268362   1.5377288  -0.5363819   1.065285    1.876907
 -0.8466389  -0.7548479   0.7348446   0.7119331  -0.5258417  -0.8673755
 -0.7608137  -0.6334528 ]"
324,"[-0.22145408 -0.22973005  0.9829191  -1.0214646  -1.221211   -0.6284234
  0.1808671   1.389912   -0.7867037   1.5552874   1.1737696   1.865332
 -0.9038834  -0.6509099   0.80837375  0.4929472  -0.48507386 -0.81477976
 -0.70600796 -0.779767  ]"
325,"[-0.22642775 -0.2308127   1.2132318  -0.9168568  -1.3588196  -0.17614038
  0.0061981   1.4497875  -1.0147159   1.2545561  -0.9120412  -1.0964996
  1.4828331   1.2907934  -0.8760322  -0.8259685  -0.16074315  1.2683835
 -0.05324525 -0.11748055]"
326,"[-0.2742602  -0.21459606  0.9640379  -1.0477325  -1.2070836  -0.9945799
  0.13946283  1.4223564  -0.29598895  1.5083835   1.2019395   1.7604438
 -0.87736595 -0.6746511   0.78964484  0.6521798  -0.39213315 -0.8855211
 -0.7378832  -0.836653  ]"
327,"[-0.22129774 -0.22716291  1.1284071  -0.93942344 -1.1978346  -0.41307414
  0.14443283  1.286944   -1.0775532   1.5165622  -0.93537676 -1.0496609
  1.5255165   1.2949262  -0.8730306  -0.8008402  -0.17189     1.2467059
 -0.07362984 -0.1627202 ]"
328,"[-0.4649816  -0.24874549  1.2962406  -0.7756116  -0.8995429  -0.9141442
 -0.2469351   2.0875351   0.508933   -0.34274718  1.1477238   1.8157506
 -0.88474166 -0.6673309   0.77715766  0.6614303  -0.46740672 -0.8535858
 -0.75393194 -0.7750657 ]"
329,"[-0.3018589  -0.2079588   1.2064313  -0.8972113  -1.094789   -0.78224653
  0.07007036  1.6272672  -0.8270726   1.2073692   1.1138409   1.7980527
 -0.85270256 -0.71452695  0.82101494  0.699493   -0.4978774  -0.86521626
 -0.7315666  -0.7705112 ]"
330,"[-0.06391247 -0.23913299  0.76171875 -1.001047   -1.3141437   0.37198475
  0.21540362  0.6582132  -1.2477363   1.8586512   1.0591383   1.8466128
 -0.85456324 -0.6859804   0.7463887   0.7759412  -0.6066006  -0.82369506
 -0.7301989  -0.72704273]"
331,"[-0.23217024 -0.2213468   1.0722947  -0.9415774  -1.1744128  -0.48265964
  0.15349175  1.2646897  -1.0359242   1.5976149   1.2459676   1.7187816
 -0.98879933 -0.8675789   0.7420421   0.6504274  -0.3438815  -0.9691163
 -0.7086579  -0.47918475]"
332,"[-0.21547975 -0.23159422  1.1324899  -0.9372178  -1.2047576  -0.41775963
  0.14342916  1.3491513  -1.0739262   1.4556645   1.1671797   1.7391721
 -0.8733071  -0.7164554   0.8249381   0.7096584  -0.427999   -0.8854519
 -0.7280119  -0.8097228 ]"
333,"[-0.30319417 -0.21017908  1.271632   -0.8701065  -1.1298978  -0.7622972
  0.02740481  1.6035988  -0.8110123   1.1840515   1.0823317   1.9077917
 -0.8949532  -0.68281215  0.79604906  0.5459031  -0.43020958 -0.82892334
 -0.75198615 -0.7431909 ]"
334,"[-0.19086367 -0.23292989  1.0182523  -0.9719966  -1.2649399  -0.09759262
  0.1566679   1.0950633  -1.1656452   1.6539844   1.098462    1.9817096
 -0.9183514  -0.6145896   0.7277578   0.4356955  -0.4258512  -0.8141249
 -0.73255736 -0.7381511 ]"
335,"[-0.393989   -0.3880574   1.166759   -0.6998779  -0.6993287  -1.0980223
 -0.32737464  2.112374    0.6762929  -0.34877586  1.1002382   1.926324
 -0.9042049  -0.66255975  0.7444552   0.5527958  -0.4815188  -0.81254894
 -0.7234375  -0.739544  ]"
336,"[-0.23330411 -0.21856941  1.1760795  -0.943444   -1.1358857  -0.6232823
  0.14432223  1.4387211  -0.98064905  1.3760124   1.2476417   1.7135296
 -0.9096468  -0.80428535  0.7355041   0.71667206 -0.40995196 -0.9247186
 -0.7915966  -0.5731483 ]"
337,"[-0.18584387 -0.23193605  0.9799797  -0.9700917  -1.2934049  -0.04768974
  0.15304519  1.1264414  -1.167489    1.6369896  -0.680688   -1.4691541
  1.5526648   1.5104847  -0.5073264  -0.4609483  -0.30247474  0.9551952
 -0.16941318 -0.42833975]"
338,"[-0.12815629 -0.24374273  0.9827998  -0.92073214 -1.363433    0.33790702
  0.10689235  0.8900861  -1.2930791   1.6314591   1.2855675   1.6407393
 -0.9549926  -0.85462755  0.88843644  0.5993278  -0.38179836 -0.95270187
 -0.68282044 -0.5871311 ]"
339,"[-0.269406   -0.21737385  1.3881171  -0.7953739  -1.2876713  -0.22878039
 -0.07449017  1.5589387  -1.079013    1.0050544   1.1311587   1.8194525
 -0.9091223  -0.59414065  0.8448421   0.5558829  -0.35367912 -0.8977739
 -0.76578784 -0.83083296]"
340,"[-0.02418889 -0.22281255  0.6205903  -0.8134653  -1.3455864   1.1319271
  0.08252079  0.20877206 -1.3510418   1.7132834   1.0738275   1.8762019
 -0.8402702  -0.6803391   0.8067567   0.6105386  -0.43927088 -0.87812513
 -0.7451352  -0.78418344]"
341,"[-0.17636074 -0.23470213  1.1335769  -0.92394805 -1.3038505  -0.07210918
  0.09363186  1.1798013  -1.1939425   1.4979028  -0.7647834  -1.4218413
  1.1778287   1.9430655  -0.29769003 -0.27787337 -0.3318436   0.714988
 -0.08078949 -0.66106075]"
342,"[-0.3287546   0.29412583 -1.0666305  -0.4947194   2.313311   -0.21227558
  0.07114367 -1.0457535   0.87414825 -0.40459514  1.1839235   1.8282163
 -0.90934855 -0.75784135  0.7265125   0.6107611  -0.39664972 -0.9161404
 -0.78357184 -0.58586115]"
343,"[-1.4073919e-01 -2.4024758e-01  9.9744397e-01 -9.6952498e-01
 -1.3068507e+00  1.3639950e-03  1.5048566e-01  1.0800534e+00
 -1.2000250e+00  1.6280413e+00 -9.0792823e-01 -1.1204808e+00
  1.4619771e+00  1.3310490e+00 -8.6232281e-01 -8.1019896e-01
 -1.6876586e-01  1.2511429e+00 -5.5326596e-02 -1.1914553e-01]"
344,"[-0.33668342 -0.20800173  1.189731   -0.9005552  -1.0612838  -0.8811384
  0.08810146  1.615914   -0.74633795  1.2402548   0.98122555  1.8564702
 -0.8986382  -0.798224    0.78451705  0.7807219  -0.55240196 -0.8805893
 -0.75912863 -0.51395196]"
345,"[-0.20641412 -0.22636332  1.180671   -0.95367515 -1.204956   -0.40948623
  0.12767161  1.395124   -1.0711573   1.3685855   1.1951665   1.8127375
 -0.9563915  -0.7918853   0.7470454   0.60947657 -0.46386787 -0.8867256
 -0.7101793  -0.555377  ]"
346,"[-0.19690138 -0.23014084  1.2558073  -0.8830215  -1.3233945  -0.1742324
  0.0114846   1.4165533  -1.1118178   1.2356627   1.1670103   1.777851
 -0.9338365  -0.79043114  0.80837643  0.6489306  -0.45561484 -0.9068385
 -0.7311262  -0.5843213 ]"
347,"[-0.20133992 -0.22401613  1.1793534  -0.9041212  -1.2989794  -0.2514707
  0.05928582  1.3634932  -1.0958439   1.3736385   1.1407355   1.8284305
 -0.8629626  -0.68301916  0.7887971   0.64278626 -0.49102995 -0.84814626
 -0.7579822  -0.7576084 ]"
348,"[-0.1907021  -0.33634645  0.24005905 -0.9412603  -0.79053587 -1.4276643
  0.5572274   1.4221811   1.6912593  -0.22421771  1.2026712   1.782331
 -0.90775067 -0.72051835  0.78129345  0.62654155 -0.40572935 -0.8714333
 -0.7271751  -0.76023024]"
349,"[-0.36779234 -0.20596924  1.1377871  -1.0426788  -1.45964    -0.64017725
 -0.13651045  1.1952435  -0.0457826   1.56552     1.5218979   1.572633
 -0.92747366 -0.6289704   0.69351417  0.52787787 -0.2373593  -0.9193382
 -0.7333921  -0.8693893 ]"
350,"[-0.140039   -0.22171764  0.9031916  -0.8918508  -1.3827028   0.6174461
  0.07390858  0.70606154 -1.3265787   1.6622795   1.0297542   1.8772392
 -0.8221936  -0.69851816  0.81459     0.68261206 -0.55450433 -0.8424922
 -0.73861593 -0.7478709 ]"
351,"[-0.21368088 -0.22561759  1.0509988  -0.9489412  -1.1502637  -0.54527783
  0.19089682  1.1993166  -1.0197355   1.6623033   1.1312602   1.8421842
 -0.8671684  -0.6716806   0.7335724   0.6958037  -0.53212225 -0.8379508
 -0.7499731  -0.7439255 ]"
352,"[-0.17118873 -0.21776426  0.982408   -0.8838337  -1.3710835   0.3994175
  0.03382143  0.8367846  -1.2806988   1.6721363   1.4280012   1.2527668
 -0.9418492  -0.819186    1.1070491   0.76399493 -0.50360817 -0.87905824
 -0.6481851  -0.75992584]"
353,"[-0.17005984 -0.23442256  0.95922816 -0.99314535 -1.2243223  -0.23421693
  0.20613053  1.0518826  -1.1128052   1.7517319   1.0195659   1.8660408
 -0.86071956 -0.68380815  0.7624416   0.77004045 -0.61994594 -0.8441425
 -0.75693357 -0.6525394 ]"
354,"[-0.06581225 -0.23600227  0.729217   -1.0314682  -1.2646351   0.12090123
  0.26791933  0.72247547 -1.1785038   1.9359095  -0.8495017  -1.2225211
  1.4189676   1.4536331  -0.7774571  -0.71443623 -0.1983403   1.2034525
 -0.10426317 -0.2095334 ]"
355,"[-0.18401644 -0.2353147   1.0826126  -0.97274554 -1.2574955  -0.17000367
  0.15018122  1.168781   -1.1523074   1.5703084   1.1715147   1.8246996
 -0.8950309  -0.7426888   0.74332345  0.6396101  -0.4695887  -0.8983882
 -0.76712316 -0.60632807]"
356,"[-0.19403312 -0.23496033  0.7949276  -0.73437977 -1.6113658   1.0697441
 -0.18906914  0.5301359  -1.0414702   1.6104712   1.16868     1.8098067
 -0.9393022  -0.7301397   0.7530037   0.6320564  -0.3830037  -0.92218363
 -0.78170645 -0.60721064]"
357,"[-0.29039142  0.22753066 -0.9066334  -0.38082945  2.5987709  -0.13247089
 -0.06191739 -0.8895819   0.31589058 -0.48036748  1.1729966   1.768334
 -0.88698715 -0.73550963  0.76606256  0.7126244  -0.43154207 -0.89937437
 -0.7785852  -0.6880191 ]"
358,"[-0.08179198 -0.17419045  0.48723817 -0.60753113 -1.4399916   1.5756614
 -0.1664183  -0.06673729 -1.1151208   1.5888814   1.1561781   1.8695331
 -0.86955994 -0.6757657   0.75616777  0.5685511  -0.44903296 -0.85739505
 -0.7336596  -0.7650168 ]"
359,"[-0.19012554 -0.21714759  1.0468247  -0.99221027 -1.154886   -0.6306452
  0.20130812  1.3172885  -0.94263715  1.5622296   1.0831643   1.910436
 -0.861109   -0.71741813  0.7582675   0.5929567  -0.4711444  -0.8665811
 -0.73520094 -0.69337153]"
360,"[-0.42365098 -0.38404    -0.003588    2.7894015  -0.19583286 -0.5234479
 -0.41018635  0.05046992 -0.4000839  -0.49904168 -0.9402679  -1.0691274
  1.4510227   1.1730089  -0.95789135 -0.9577235  -0.11084569  1.2788788
  0.06607182  0.06687365]"
361,"[-0.09834378 -0.23172612  0.88302904 -1.067931   -1.2591355  -0.07853323
  0.24512938  1.0302294  -1.1495417   1.7268227   1.2223      1.7582054
 -0.9553776  -0.7719516   0.78812754  0.6197999  -0.389257   -0.8958021
 -0.69031817 -0.68572706]"
362,"[-0.06905824 -0.24000289  0.7862511  -0.9807023  -1.3245558   0.4125563
  0.19552962  0.6470266  -1.2646508   1.8376055   1.1861238   1.819233
 -0.9278503  -0.74850094  0.7825446   0.59115535 -0.47471067 -0.8531672
 -0.6543961  -0.7204322 ]"
363,"[-0.33518252 -0.21649365  1.1734604  -0.9114123  -1.067062   -0.91038316
  0.10751504  1.597473   -0.7049168   1.2670025   1.2712314   1.7738441
 -0.9439361  -0.6749792   0.71843714  0.5416621  -0.23249902 -0.9214853
 -0.7205161  -0.8117589 ]"
364,"[-0.1871807  -0.23967238  1.0071937  -0.97263277 -1.2541405  -0.15225483
  0.17234075  1.1211467  -1.150385    1.6555846   1.1107649   1.8354994
 -0.9028078  -0.67916375  0.8049409   0.61508435 -0.36802584 -0.89640945
 -0.7434253  -0.7764574 ]"
365,"[-2.46846050e-01  2.12472096e-01 -6.84207201e-01  2.09407687e+00
  1.09504938e+00 -6.10385180e-01  1.48733228e-01 -7.41478801e-01
  1.05833046e-01 -1.37324786e+00 -9.31998909e-01 -1.16735876e+00
  1.43705559e+00  1.33889437e+00 -8.83725405e-01 -8.05087686e-01
 -1.56748369e-01  1.20657301e+00 -3.68578695e-02 -7.45948928e-04]"
366,"[-0.12605394 -0.24281211  0.88161165 -0.963072   -1.3432612   0.329693
  0.15025575  0.8623166  -1.2641953   1.7155176   1.1234106   1.8871275
 -0.926162   -0.7357744   0.7820966   0.56157917 -0.60174704 -0.8316174
 -0.67633635 -0.58257645]"
367,"[-0.1594411  -0.23815647  0.99950373 -0.98131996 -1.2502648  -0.21566562
  0.18496801  1.1522518  -1.1343182   1.6424419   1.1129386   1.8477852
 -0.86175424 -0.65984917  0.74940014  0.6878007  -0.5051224  -0.84825355
 -0.76081854 -0.7621274 ]"
368,"[-0.2698389  -0.21033455  1.2320235  -0.9150296  -1.1539036  -0.5821971
  0.08944704  1.4843645  -0.9759131   1.3013816   1.0534393   1.8570331
 -0.8441839  -0.7382487   0.7688597   0.73311037 -0.5457687  -0.8613232
 -0.75239456 -0.67052394]"
369,"[-0.34967583  0.20892909 -0.9221019  -0.17991112  2.4292011  -0.19416156
 -0.05907663 -0.8736752   0.75895333 -0.818481    1.2402644   1.7717948
 -0.9166026  -0.69346833  0.78271663  0.57123864 -0.3521373  -0.8755491
 -0.71886003 -0.809397  ]"
370,"[-0.22187616  0.16355988 -0.74895275 -0.47719884 -0.05215788 -0.4147943
  0.04053807 -0.707666    2.7148426  -0.29629478  1.2204049   1.7699813
 -0.92452973 -0.7213395   0.703176    0.71042645 -0.43913174 -0.881912
 -0.73141855 -0.7056567 ]"
371,"[-0.20665911 -0.2387135   1.128373   -0.91548765 -1.2934531  -0.0630345
  0.09760851  1.2062455  -1.2003404   1.4854618   1.1631947   1.8484012
 -0.91677237 -0.7383316   0.77679086  0.571508   -0.45995256 -0.87017834
 -0.7112991  -0.6633603 ]"
372,"[-0.23078944 -0.2293668   1.2307317  -0.8449987  -1.3562548  -0.03612994
 -0.01801606  1.3002026  -1.156043    1.3406657  -0.83735716 -1.1854289
  1.4580249   1.4113191  -0.78719306 -0.7517844  -0.19451909  1.2196323
 -0.09424347 -0.23845007]"
373,"[-0.15257767 -0.23696291  0.95539725 -0.97729236 -1.3085625   0.10134069
  0.15497172  1.0197302  -1.2215704   1.6655266   1.3230752   1.6206359
 -1.0279287  -0.8811572   0.79959124  0.62395674 -0.3564636  -0.98720336
 -0.69612265 -0.41838416]"
374,"[-0.1968798   0.3559648  -0.8689859  -0.3785371   0.5930991  -0.34193778
 -0.15830143 -0.86709595  2.5054593  -0.6427852   1.1650037   1.841123
 -0.9174484  -0.7981252   0.71996015  0.62129116 -0.44157088 -0.90330225
 -0.76783806 -0.5190927 ]"
375,"[-0.5191981  -0.4077762   1.1809217  -0.73783165 -0.741381   -0.9724957
 -0.16533636  2.0082781   0.88674784 -0.53192854  1.1537713   1.8350492
 -0.87771755 -0.7511912   0.74717903  0.6373595  -0.41694796 -0.8977785
 -0.72750187 -0.70222175]"
376,"[-0.33383894 -0.42699972  0.9501503  -0.4861829  -0.7714999  -1.3187864
 -0.38004512  2.218552    0.18562081  0.3630296  -0.733972   -1.2765473
  1.0628403   2.0406284  -0.28211373 -0.28917575 -0.33298835  0.809649
 -0.26466876 -0.73365176]"
377,"[-0.23112161 -0.22195083  1.0822582  -0.92105514 -1.2530156  -0.23337105
  0.1025294   1.1724629  -1.1160972   1.6193612   1.1523534   1.8673528
 -0.86419564 -0.7288807   0.72081316  0.6179594  -0.44793934 -0.8655531
 -0.6970297  -0.75488085]"
378,"[-0.23319232 -0.21765862  1.0953516  -0.9681461  -1.238842   -0.4623526
  0.11096826  1.4137347  -0.9492265   1.4493631   1.1683657   1.7691127
 -0.88518983 -0.6773601   0.80648506  0.6569013  -0.36444613 -0.89026475
 -0.76392007 -0.8196833 ]"
379,"[-0.31748757  0.2505581  -1.4715617  -0.9038304   1.4646702   0.1366166
  0.7604932  -1.3873173   0.9682298   0.49962884  1.7473689   0.03635678
 -0.9077622  -0.3348793   1.5034828   0.7934155  -0.7201942  -0.7295853
 -0.46529227 -0.9229102 ]"
380,"[-0.2469376  -0.22003305  1.2054374  -0.94636875 -1.1691998  -0.4968465
  0.13227417  1.3418028  -1.0309478   1.4308197   1.1131265   1.8246692
 -0.85004765 -0.6964991   0.8173722   0.65391105 -0.4794051  -0.85315883
 -0.76108    -0.7688893 ]"
381,"[-0.15739556 -0.24121243  0.9610868  -0.96322304 -1.2938478   0.0043835
  0.16551587  1.0029002  -1.1920586   1.7138518   1.1751359   1.5422858
 -0.96991825 -0.91445535  0.95682454  0.83274925 -0.4512204  -0.95014167
 -0.64490265 -0.57635736]"
382,"[-0.1702259  -0.23173615  0.9267747  -0.9899112  -1.2579054  -0.09571284
  0.1920746   1.0097921  -1.1476275   1.7644764   0.8945617   1.9481833
 -0.7897956  -0.69962543  0.77540016  0.7648429  -0.6844573  -0.81583095
 -0.70620275 -0.687076  ]"
383,"[-0.16059792 -0.22601195  0.7840079  -1.0186199  -1.1286452  -0.86389107
  0.32949707  1.2297205  -0.712471    1.7670113   1.2583932   1.766298
 -0.9663992  -0.7878295   0.6923293   0.6265274  -0.37898237 -0.9286232
 -0.7871714  -0.4945412 ]"
384,"[-0.19010726 -0.22957994  0.9843956  -0.98055035 -1.1278682  -0.63593405
  0.25178432  1.2719861  -0.9773811   1.6332551   1.0461384   1.8765851
 -0.8726687  -0.69467086  0.7911995   0.68767196 -0.5687751  -0.8218773
 -0.72586    -0.71774316]"
385,"[-0.09570413 -0.18496113  0.4569068  -0.7550506  -1.3560175   0.978199
  0.01642696 -0.00362015 -1.0991443   2.0429652   1.1380787   1.8900707
 -0.91815865 -0.79554003  0.7419216   0.547866   -0.4268159  -0.88669
 -0.69289804 -0.59783494]"
386,"[-0.40697896 -0.24529454  1.170982   -0.89794755 -1.0530272  -0.9531206
  0.03798696  1.7156175  -0.5311697   1.1629517   1.2070458   1.6402026
 -0.913853   -0.8291614   0.903542    0.7220541  -0.4406187  -0.9455629
 -0.6988324  -0.64481735]"
387,"[-0.45251638 -0.21073599  1.2391034  -0.86125684 -1.0367585  -0.89956784
 -0.01416865  1.7170019  -0.6084969   1.1273963   1.1662644   1.6704949
 -1.0246869  -0.8658726   0.8896782   0.7078816  -0.58501023 -0.9154525
 -0.64894295 -0.39435342]"
